id,nazov_piva,pivovar,mesto,kraj,hodnotenie,sezonnost,skupina_piv,styl,stupnovitost,alkohol_percento,horkost_IBU,pivovar_matched,pivovar_original,pivovar_id_1,pivovar_id_2
700,Sarah Bourbon Barrel Aged,Clock,Potštejn,Královéhradecký kraj,7.800000190734863,Neuvedené,bourbon aged ( oak barrel-aged ),Russian Imperial Stout ( Stout ),24,8.5,100,Clock,Clock,167,NULL
701,Sarah Jack Daniel's / káva,Clock,Potštejn,Královéhradecký kraj,8.300000190734863,Neuvedené,kávové pivo ( ochucené pivo ) whisky aged ( oak barrel-aged ),Russian Imperial Stout ( Stout ),24,8.5,100,Clock,Clock,167,NULL
702,Tekutý kapřík 2023 DDH Kölsch,Clock,Potštejn,Královéhradecký kraj,7,vánoční,Neuvedené,Kölsch Pale Ale ( Ale ),13,5.400000095367432,30,Clock,Clock,167,NULL
703,Trudi 8°,Clock,Potštejn,Královéhradecký kraj,6.900000095367432,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",8,3.700000047683716,26,Clock,Clock,167,NULL
704,Twist 14° American Red IPA,Clock,Potštejn,Královéhradecký kraj,7.5,Neuvedené,Neuvedené,"Red IPA ( India Pale Ale , Ale )",14,6.199999809265137,60,Clock,Clock,167,NULL
705,Twist 14° Grep,Clock,Potštejn,Královéhradecký kraj,5,Neuvedené,"grapefruitové pivo ( ovocné pivo , ochucené pivo )","Red IPA ( India Pale Ale , Ale )",14,6.199999809265137,Neuvedené,Clock,Clock,167,NULL
706,Veselé Vánoce 13° American Amber Lager Citra,Clock,Potštejn,Královéhradecký kraj,7.300000190734863,vánoční,single hop,India Pale Lager polotmavý ležák,13,5.5,42,Clock,Clock,167,NULL
707,Veselé Vánoce 13° American Amber Lager Chinook,Clock,Potštejn,Královéhradecký kraj,7,vánoční,single hop,polotmavý speciál India Pale Lager,13,5.5,42,Clock,Clock,167,NULL
708,Zlatý prasátko 2014,Clock,Potštejn,Královéhradecký kraj,6.5,vánoční,Neuvedené,Heller Weizenbock ( Weizenbock ),16,6,22,Clock,Clock,167,NULL
709,Zlatý prasátko 2015,Clock,Potštejn,Královéhradecký kraj,7.5,vánoční,Neuvedené,"Belgian IPA ( India Pale Ale , Ale )",16,6.599999904632568,60,Clock,Clock,167,NULL
710,Zlatý prasátko 2016,Clock,Potštejn,Královéhradecký kraj,7,vánoční,Neuvedené,American Saison ( Saison ),13,5.900000095367432,45,Clock,Clock,167,NULL
711,Zlatý prasátko 2017,Clock,Potštejn,Královéhradecký kraj,6,vánoční,Neuvedené,"Belgian IPA ( India Pale Ale , Ale )",16,6.599999904632568,60,Clock,Clock,167,NULL
712,Zlatý prasátko 2018,Clock,Potštejn,Královéhradecký kraj,6,vánoční,Neuvedené,"New England IPA ( India Pale Ale , Ale )",16,6.300000190734863,25,Clock,Clock,167,NULL
713,Zlatý prasátko 2019,Clock,Potštejn,Královéhradecký kraj,7.5,vánoční,"kokosové pivo ( ovocné pivo , ochucené pivo )",Pale Ale ( Ale ),16,6.5,25,Clock,Clock,167,NULL
714,Zlatý prasátko 2020 Coconut Golden Ale,Clock,Potštejn,Královéhradecký kraj,7.5,vánoční,"kokosové pivo ( ovocné pivo , ochucené pivo )",Golden Ale ( Ale ),16,6.5,25,Clock,Clock,167,NULL
715,Zlatý prasátko 2025 NEIPA,Clock,Potštejn,Královéhradecký kraj,6.300000190734863,vánoční,Neuvedené,"New England IPA ( India Pale Ale , Ale )",15,6.199999809265137,35,Clock,Clock,167,NULL
716,Aronia Sour Afternoon Tea 12,Cobolis / Dark Times,Praha,Hlavní město Praha,7.300000190734863,Neuvedené,"čajové pivo ( ochucené pivo ) aróniové pivo ( ovocné pivo , ochucené pivo )",Sour Ale,12,4.599999904632568,Neuvedené,Cobolis / Dark Times,Cobolis Dark Times,438,442
717,Cestovatelské - Tea APA,Cobolis,Praha,Hlavní město Praha,7.199999809265137,Neuvedené,čajové pivo ( ochucené pivo ),"American Pale Ale ( Pale Ale , Ale )",13,5.699999809265137,Neuvedené,Cobolis,Cobolis Jedno,438,NULL
718,PaDAle,Cobolis / Volt,Praha,Hlavní město Praha,7.800000190734863,Neuvedené,Neuvedené,"Extra Special Bitter ( English Pale Ale , Pale Ale , Ale )",13,5.300000190734863,Neuvedené,Cobolis / Volt,Cobolis Volt,438,225
719,Alcatraz Brut IPA,Cobolis,Praha,Hlavní město Praha,8.300000190734863,Neuvedené,single hop,"Double IPA ( India Pale Ale , Ale )",18,11,Neuvedené,Cobolis,Cobolis,438,NULL
720,American India Pale Ale 16,Cobolis,Praha,Hlavní město Praha,6.900000095367432,Neuvedené,Neuvedené,"American IPA ( India Pale Ale , Ale )",16,6.5,Neuvedené,Cobolis,Cobolis,438,NULL
721,Australian Secret,Cobolis,Praha,Hlavní město Praha,7.599999904632568,Neuvedené,Neuvedené,"Double IPA ( India Pale Ale , Ale )",22,10,Neuvedené,Cobolis,Cobolis,438,NULL
722,Bald Eagle American IPA 16,Cobolis,Praha,Hlavní město Praha,7.5,Neuvedené,Neuvedené,"American IPA ( India Pale Ale , Ale )",16,6.5,60,Cobolis,Cobolis,438,NULL
723,Bavorská pšenice 11,Cobolis,Praha,Hlavní město Praha,6.800000190734863,letní,Neuvedené,German Hefeweizen,11,4.800000190734863,Neuvedené,Cobolis,Cobolis,438,NULL
724,Bavorský Inkvizitor Bavorská pšenice 13,Cobolis,Praha,Hlavní město Praha,6.900000095367432,Neuvedené,Neuvedené,German Hefeweizen,13,5.400000095367432,Neuvedené,Cobolis,Cobolis,438,NULL
725,Berliner Weisse,Cobolis,Praha,Hlavní město Praha,7.800000190734863,Neuvedené,Neuvedené,Berliner Weisse,10,3.9000000953674316,Neuvedené,Cobolis,Cobolis,438,NULL
726,Berliner Weisse s ostružinou,Cobolis,Praha,Hlavní město Praha,7.300000190734863,Neuvedené,"ostružinové pivo ( ovocné pivo , ochucené pivo )",Berliner Weisse,10,3.9000000953674316,Neuvedené,Cobolis,Cobolis,438,NULL
727,Berliner Weisse trnka,Cobolis,Praha,Hlavní město Praha,7.5,Neuvedené,ovocné pivo ( ochucené pivo ),Berliner Weisse,14,6.5,Neuvedené,Cobolis,Cobolis,438,NULL
728,Berliner Weisse višeň,Cobolis,Praha,Hlavní město Praha,7.5,Neuvedené,"višňové pivo ( ovocné pivo , ochucené pivo )",Berliner Weisse,13,5.699999809265137,Neuvedené,Cobolis,Cobolis,438,NULL
729,Bezedný kotel Extra Stout,Cobolis,Praha,Hlavní město Praha,8.300000190734863,Neuvedené,Neuvedené,Foreign Extra Stout ( Stout ),18,7.199999809265137,Neuvedené,Cobolis,Cobolis,438,NULL
730,BrewBerry 10,Cobolis,Praha,Hlavní město Praha,7.300000190734863,Neuvedené,"borůvkové pivo ( ovocné pivo , ochucené pivo )",Gose,10,3.200000047683716,Neuvedené,Cobolis,Cobolis,438,NULL
731,Brigádník Rubín a Harmonie 11,Cobolis,Praha,Hlavní město Praha,7.5,podzimní,wet hop,světlý ležák,11,4.199999809265137,Neuvedené,Cobolis,Cobolis,438,NULL
732,Brigádník Saaz Shine 10,Cobolis,Praha,Hlavní město Praha,7.300000190734863,Neuvedené,wet hop single hop,světlé výčepní,10,3.799999952316284,Neuvedené,Cobolis,Cobolis,438,NULL
733,British Golden Ale 13 (Comet),Cobolis,Praha,Hlavní město Praha,7.300000190734863,Neuvedené,Neuvedené,"English Golden Ale ( Golden Ale , Ale )",13,5,Neuvedené,Cobolis,Cobolis,438,NULL
734,ESB,Cobolis,Praha,Hlavní město Praha,7.099999904632568,Neuvedené,Neuvedené,"Extra Special Bitter ( English Pale Ale , Pale Ale , Ale )",14,5.199999809265137,Neuvedené,Cobolis,Cobolis,438,NULL
735,Fire Ant,Cobolis,Praha,Hlavní město Praha,7.5,podzimní,Neuvedené,"American IPA ( India Pale Ale , Ale )",15,6.5,Neuvedené,Cobolis,Cobolis,438,NULL
736,Independence Session NEIPA 13,Cobolis,Praha,Hlavní město Praha,8.199999809265137,Neuvedené,Neuvedené,"New England IPA ( India Pale Ale , Ale ) Session IPA ( India Pale Ale , Ale )",13,5.699999809265137,Neuvedené,Cobolis,Cobolis,438,NULL
737,Irish Dry Stout,Cobolis,Praha,Hlavní město Praha,7.800000190734863,Neuvedené,Neuvedené,Dry Stout ( Stout ),13,5.199999809265137,Neuvedené,Cobolis,Cobolis,438,NULL
738,Kámen osudu Oatmeal Stout 10,Cobolis,Praha,Hlavní město Praha,7.5,Neuvedené,Neuvedené,Oatmeal Stout ( Stout ),10,4,Neuvedené,Cobolis,Cobolis,438,NULL
739,Kouř Rauchbier,Cobolis,Praha,Hlavní město Praha,7.5,Neuvedené,nakuřované pivo,polotmavý speciál,14,NULL,Neuvedené,Cobolis,Cobolis,438,NULL
740,Kurfürstendamm Berliner Weisse Švestka,Cobolis,Praha,Hlavní město Praha,7.800000190734863,Neuvedené,"švestkové pivo ( ovocné pivo , ochucené pivo )",Berliner Weisse,14,6.5,Neuvedené,Cobolis,Cobolis,438,NULL
741,MarzFest 15,Cobolis,Praha,Hlavní město Praha,7,Neuvedené,Neuvedené,Märzen,15,6,Neuvedené,Cobolis,Cobolis,438,NULL
742,Meč světla Russian Imperial Stout,Cobolis,Praha,Hlavní město Praha,7.900000095367432,Neuvedené,Neuvedené,Russian Imperial Stout ( Stout ),24,10,Neuvedené,Cobolis,Cobolis,438,NULL
743,Mimóza Sametové Single Hop Saaz Ale,Cobolis,Praha,Hlavní město Praha,8,Neuvedené,single hop,India Pale Ale ( Ale ),14,6.199999809265137,Neuvedené,Cobolis,Cobolis,438,NULL
744,NEIPA Franklin 14,Cobolis,Praha,Hlavní město Praha,8.300000190734863,Neuvedené,Neuvedené,"New England IPA ( India Pale Ale , Ale )",14,6,Neuvedené,Cobolis,Cobolis,438,NULL
745,Nevada American Pale Ale,Cobolis,Praha,Hlavní město Praha,7.400000095367432,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",11,4.199999809265137,Neuvedené,Cobolis,Cobolis,438,NULL
746,New England IPA 16,Cobolis,Praha,Hlavní město Praha,7.300000190734863,Neuvedené,Neuvedené,"New England IPA ( India Pale Ale , Ale )",16,7,Neuvedené,Cobolis,Cobolis,438,NULL
747,Phoenix Extra Session Brut IPA,Cobolis,Praha,Hlavní město Praha,7.5,Neuvedené,Neuvedené,India Pale Ale ( Ale ),8,4.800000190734863,Neuvedené,Cobolis,Cobolis,438,NULL
748,Podzimní šípkové 13°,Cobolis,Praha,Hlavní město Praha,6.599999904632568,podzimní,ochucené pivo,Brown Ale ( Ale ),13,5.800000190734863,Neuvedené,Cobolis,Cobolis,438,NULL
749,Praotec světlý ležák 12,Cobolis,Praha,Hlavní město Praha,7.300000190734863,Neuvedené,Neuvedené,světlý ležák,12,NULL,Neuvedené,Cobolis,Cobolis,438,NULL
750,Předák výčepní 10°,Cobolis,Praha,Hlavní město Praha,6.599999904632568,Neuvedené,Neuvedené,světlé výčepní,10,3.799999952316284,Neuvedené,Cobolis,Cobolis,438,NULL
751,Red IPA 16,Cobolis,Praha,Hlavní město Praha,7.300000190734863,Neuvedené,Neuvedené,"Red IPA ( India Pale Ale , Ale )",16,6.199999809265137,Neuvedené,Cobolis,Cobolis,438,NULL
752,Reichstag Berliner Weisse aronie,Cobolis,Praha,Hlavní město Praha,7.400000095367432,Neuvedené,"aróniové pivo ( ovocné pivo , ochucené pivo )",Berliner Weisse,14,6.5,Neuvedené,Cobolis,Cobolis,438,NULL
753,Reichstag Mirabelle,Cobolis,Praha,Hlavní město Praha,7,Neuvedené,Neuvedené,Sour Ale,14,5.5,Neuvedené,Cobolis,Cobolis,438,NULL
754,Reichstag Stachelbeere (Angrešt) 13,Cobolis,Praha,Hlavní město Praha,7.300000190734863,Neuvedené,"angreštové pivo ( ovocné pivo , ochucené pivo )",Sour Ale,13,4.599999904632568,Neuvedené,Cobolis,Cobolis,438,NULL
755,Relax Blues,Cobolis,Praha,Hlavní město Praha,7.300000190734863,Neuvedené,Neuvedené,Belgian Saison ( Saison ),13,5.800000190734863,Neuvedené,Cobolis,Cobolis,438,NULL
756,Rudý Kazbek,Cobolis,Praha,Hlavní město Praha,8,Neuvedené,Neuvedené,"Red IPA ( India Pale Ale , Ale )",13,5.5,44,Cobolis,Cobolis,438,NULL
757,SaazAle.cz #1,Cobolis,Praha,Hlavní město Praha,7.099999904632568,Neuvedené,Neuvedené,Pale Ale ( Ale ),11,4.199999809265137,Neuvedené,Cobolis,Cobolis,438,NULL
758,SaazAle.cz #2,Cobolis,Praha,Hlavní město Praha,7,Neuvedené,single hop,India Pale Ale ( Ale ),14,6.199999809265137,Neuvedené,Cobolis,Cobolis,438,NULL
759,SaazAle.cz #3 Uran,Cobolis,Praha,Hlavní město Praha,7.5,Neuvedené,single hop,Pale Ale ( Ale ),14,6.199999809265137,Neuvedené,Cobolis,Cobolis,438,NULL
760,SaazAle.cz #4 Zelený Saturn 14,Cobolis,Praha,Hlavní město Praha,7.5,Neuvedené,wet hop,Pale Ale ( Ale ),14,6.199999809265137,Neuvedené,Cobolis,Cobolis,438,NULL
761,Summer Ale / Ďábelská šestka,Cobolis,Praha,Hlavní město Praha,6.800000190734863,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",6,1.899999976158142,Neuvedené,Cobolis,Cobolis,438,NULL
762,světlý ležák 11°,Cobolis,Praha,Hlavní město Praha,6.5,jednorázová várka,Neuvedené,světlý ležák,11,4.099999904632568,Neuvedené,Cobolis,Cobolis,438,NULL
763,Tmavá pramáti tmavý ležák 12,Cobolis,Praha,Hlavní město Praha,7.300000190734863,Neuvedené,Neuvedené,tmavý ležák,12,4.5,Neuvedené,Cobolis,Cobolis,438,NULL
764,Výroční ležák,Cobolis,Praha,Hlavní město Praha,6.800000190734863,Neuvedené,Neuvedené,Pilsner světlý ležák,12,4.599999904632568,Neuvedené,Cobolis,Cobolis,438,NULL
765,Washington NEIPA 17,Cobolis,Praha,Hlavní město Praha,7.800000190734863,Neuvedené,Neuvedené,"New England IPA ( India Pale Ale , Ale )",17,7.699999809265137,Neuvedené,Cobolis,Cobolis,438,NULL
766,Weizenbock Malleus Maleficarum,Cobolis,Praha,Hlavní město Praha,7.599999904632568,Neuvedené,Neuvedené,Dunkler Weizenbock ( Weizenbock ),17,6.699999809265137,Neuvedené,Cobolis,Cobolis,438,NULL
767,Xenofon XXII American Barley Wine,Cobolis,Praha,Hlavní město Praha,8,Neuvedené,Neuvedené,American Barleywine ( Barley Wine ),22,10,Neuvedené,Cobolis,Cobolis,438,NULL
768,Yellowstone (Grizzly) IPA 18,Cobolis,Praha,Hlavní město Praha,7.900000095367432,Neuvedené,Neuvedené,"Double IPA ( India Pale Ale , Ale )",18,7.900000095367432,63,Cobolis,Cobolis,438,NULL
769,Zlatá horečka Brut IPA,Cobolis,Praha,Hlavní město Praha,7.800000190734863,Neuvedené,Neuvedené,India Pale Ale ( Ale ),13,7.099999904632568,Neuvedené,Cobolis,Cobolis,438,NULL
770,Liquid Sun NEIPA,Craft House Brew,Praha,Hlavní město Praha,5.5,Neuvedené,Neuvedené,India Pale Ale ( Ale ),17,7.5,90,Craft House Brew,Craft House Brew Fabrica RARA,439,NULL
771,Hazy Daisy Session IPA,Craft House Brew,Praha,Hlavní město Praha,5.5,Neuvedené,Neuvedené,"Session IPA ( India Pale Ale , Ale )",NULL,5.900000095367432,50,Craft House Brew,Craft House Brew Zubatý pes Brew,439,NULL
772,Vitaminica Pale Ale,Craft House Brew,Praha,Hlavní město Praha,5,Neuvedené,bylinné pivo ( ochucené pivo ),"American Pale Ale ( Pale Ale , Ale )",13,5.5,40,Craft House Brew,Craft House Brew Zubatý pes Brew,439,NULL
773,Albrecht Crazy Albrecht 11°,Crazy Clown / Zámecký pivovar Frýdlant,Praha,Hlavní město Praha,7,Neuvedené,Neuvedené,India Pale Lager světlý ležák,11,4.300000190734863,Neuvedené,Crazy Clown / Zámecký pivovar Frýdlant,Crazy Clown Zámecký pivovar Frýdlant,440,226
774,Oompa Loompa,Crazy Clown / Školička - Minipivovar Beznoska,Praha,Hlavní město Praha,7.300000190734863,Neuvedené,"malinové pivo ( ovocné pivo , ochucené pivo )",Russian Imperial Stout ( Stout ),20,8.899999618530273,Neuvedené,Crazy Clown / Školička - Minipivovar Beznoska,Crazy Clown Školička - Minipivovar Beznoska,440,520
775,Clown,Crazy Clown,Praha,Hlavní město Praha,7.699999809265137,Neuvedené,"limetkové pivo ( ovocné pivo , ochucené pivo )",India Pale Lager,12,5,Neuvedené,Crazy Clown,Crazy Clown Crazy Rocker Brewpub,440,NULL
776,Malt Worm Zichbeeria New Wormy,Crazy Clown,Praha,Hlavní město Praha,6.300000190734863,Neuvedené,"kokosové pivo ( ovocné pivo , ochucené pivo )",India Pale Ale ( Ale ),14,6.300000190734863,Neuvedené,Crazy Clown,Crazy Clown,440,NULL
777,Akuma,Crazy Clown,Praha,Hlavní město Praha,7,Neuvedené,Neuvedené,India Pale Ale ( Ale ),15,6.199999809265137,Neuvedené,Crazy Clown,Crazy Clown,440,NULL
778,All Cats Are Beautiful,Crazy Clown,Praha,Hlavní město Praha,7.300000190734863,Neuvedené,wet hop,"New England IPA ( India Pale Ale , Ale ) Belgian IPA ( India Pale Ale , Ale )",16,6.099999904632568,Neuvedené,Crazy Clown,Crazy Clown,440,NULL
779,Are U Nuts?,Crazy Clown,Praha,Hlavní město Praha,7.800000190734863,Neuvedené,medové pivo ( ochucené pivo ),Russian Imperial Stout ( Stout ),23,NULL,Neuvedené,Crazy Clown,Crazy Clown,440,NULL
780,Azazel,Crazy Clown,Praha,Hlavní město Praha,7.5,Neuvedené,"nakuřované pivo rašelinou nakuřované ( nakuřované pivo ) švestkové pivo ( ovocné pivo , ochucené pivo )",Brown Ale ( Ale ),NULL,5.800000190734863,Neuvedené,Crazy Clown,Crazy Clown,440,NULL
781,Barbier,Crazy Clown,Praha,Hlavní město Praha,8,Neuvedené,"malinové pivo ( ovocné pivo , ochucené pivo ) kokosové pivo ( ovocné pivo , ochucené pivo )",Belgian Witbier,11,NULL,Neuvedené,Crazy Clown,Crazy Clown,440,NULL
782,Blood Honey,Crazy Clown,Praha,Hlavní město Praha,7.800000190734863,Neuvedené,"pomerančové pivo ( ovocné pivo , ochucené pivo ) medové pivo ( ochucené pivo )",India Pale Ale ( Ale ),14,5.5,Neuvedené,Crazy Clown,Crazy Clown,440,NULL
783,Brewstarter,Crazy Clown,Praha,Hlavní město Praha,5,Neuvedené,single hop,Saison Belgian Ale ( Ale ),13,5.900000095367432,Neuvedené,Crazy Clown,Crazy Clown,440,NULL
784,Brewstarter „poslední sud”,Crazy Clown,Praha,Hlavní město Praha,6,Neuvedené,Neuvedené,Saison Belgian Ale ( Ale ),13,5.900000095367432,Neuvedené,Crazy Clown,Crazy Clown,440,NULL
785,Brewstarter Brusinka,Crazy Clown,Praha,Hlavní město Praha,6,Neuvedené,"brusinkové pivo ( ovocné pivo , ochucené pivo )",Saison Belgian Ale ( Ale ),13,5.900000095367432,Neuvedené,Crazy Clown,Crazy Clown,440,NULL
786,Brewstarter Doppelherz,Crazy Clown,Praha,Hlavní město Praha,5.5,Neuvedené,"pomerančové pivo ( ovocné pivo , ochucené pivo ) grapefruitové pivo ( ovocné pivo , ochucené pivo )",Saison Belgian Ale ( Ale ),13,5.900000095367432,Neuvedené,Crazy Clown,Crazy Clown,440,NULL
787,Brewstarter Guava,Crazy Clown,Praha,Hlavní město Praha,6,Neuvedené,"kvajávové pivo ( ovocné pivo , ochucené pivo )",Saison Belgian Ale ( Ale ),13,5.900000095367432,Neuvedené,Crazy Clown,Crazy Clown,440,NULL
788,Brewstarter Chilli,Crazy Clown,Praha,Hlavní město Praha,5,Neuvedené,chilli pivo ( ochucené pivo ),Saison Belgian Ale ( Ale ),13,5.900000095367432,Neuvedené,Crazy Clown,Crazy Clown,440,NULL
789,Brewstarter Máta,Crazy Clown,Praha,Hlavní město Praha,5.5,Neuvedené,bylinné pivo ( ochucené pivo ),Saison Belgian Ale ( Ale ),13,5.900000095367432,Neuvedené,Crazy Clown,Crazy Clown,440,NULL
790,Brewstarter Medvědí česnek,Crazy Clown,Praha,Hlavní město Praha,3,Neuvedené,bylinné pivo ( ochucené pivo ),Saison Belgian Ale ( Ale ),13,5.900000095367432,Neuvedené,Crazy Clown,Crazy Clown,440,NULL
791,Brewstarter Meruňka,Crazy Clown,Praha,Hlavní město Praha,6,Neuvedené,"meruňkové pivo ( ovocné pivo , ochucené pivo )",Saison Belgian Ale ( Ale ),13,6,Neuvedené,Crazy Clown,Crazy Clown,440,NULL
792,Brewstarter Rebarbora,Crazy Clown,Praha,Hlavní město Praha,6.5,Neuvedené,ochucené pivo,Saison Belgian Ale ( Ale ),13,5.900000095367432,Neuvedené,Crazy Clown,Crazy Clown,440,NULL
793,Brewstarter Svařák,Crazy Clown,Praha,Hlavní město Praha,5,Neuvedené,kořeněné pivo ( ochucené pivo ),Saison Belgian Ale ( Ale ),13,5.900000095367432,Neuvedené,Crazy Clown,Crazy Clown,440,NULL
794,Collectible Resources,Crazy Clown,Praha,Hlavní město Praha,6.699999809265137,Neuvedené,kořeněné pivo ( ochucené pivo ),"Session IPA ( India Pale Ale , Ale )",11,NULL,Neuvedené,Crazy Clown,Crazy Clown,440,NULL
795,Cthulhu,Crazy Clown,Praha,Hlavní město Praha,6.5,Neuvedené,ochucené pivo,"Red IPA ( India Pale Ale , Ale )",15,6.300000190734863,40,Crazy Clown,Crazy Clown,440,NULL
796,Decadence #1,Crazy Clown,Praha,Hlavní město Praha,7,Neuvedené,ochucené pivo,Porter,13,5.400000095367432,15,Crazy Clown,Crazy Clown,440,NULL
797,Decadence #2,Crazy Clown,Praha,Hlavní město Praha,7.800000190734863,Neuvedené,ochucené pivo,Porter,14,NULL,Neuvedené,Crazy Clown,Crazy Clown,440,NULL
798,Devil's Candy,Crazy Clown,Praha,Hlavní město Praha,7,Neuvedené,"čokoládové pivo ( ochucené pivo ) banánové pivo ( ovocné pivo , ochucené pivo )",Chocolate Stout ( Stout ),15,6,Neuvedené,Crazy Clown,Crazy Clown,440,NULL
799,Dirty Cosmo,Crazy Clown,Praha,Hlavní město Praha,3,Neuvedené,"grapefruitové pivo ( ovocné pivo , ochucené pivo ) pomerančové pivo ( ovocné pivo , ochucené pivo ) citrónové pivo ( ovocné pivo , ochucené pivo ) limetkové pivo ( ovocné pivo , ochucené pivo ) mandarinkové pivo ( ovocné pivo , ochucené pivo )",Pale Ale ( Ale ),13,5.5,Neuvedené,Crazy Clown,Crazy Clown,440,NULL
800,Down the Rabbit Hole,Crazy Clown,Praha,Hlavní město Praha,6.300000190734863,Neuvedené,"nopálové pivo ( ochucené pivo ) liči pivo ( ovocné pivo , ochucené pivo )","American Amber Ale ( Amber Ale , Ale )",14,5.699999809265137,Neuvedené,Crazy Clown,Crazy Clown,440,NULL
801,Dragon King,Crazy Clown,Praha,Hlavní město Praha,5.800000190734863,Neuvedené,ochucené pivo,Gose,11,3.799999952316284,5,Crazy Clown,Crazy Clown,440,NULL
802,Eye of Horus 19,Crazy Clown,Praha,Hlavní město Praha,6.300000190734863,Neuvedené,"fíkové pivo ( ovocné pivo , ochucené pivo ) ovocné pivo ( ochucené pivo )","Tripel ( Belgian Strong Ale , Belgian Ale , Ale )",19,8,20,Crazy Clown,Crazy Clown,440,NULL
803,Eye of Horus 24,Crazy Clown,Praha,Hlavní město Praha,7,Neuvedené,"fíkové pivo ( ovocné pivo , ochucené pivo ) ovocné pivo ( ochucené pivo )","Tripel ( Belgian Strong Ale , Belgian Ale , Ale )",24,8.5,Neuvedené,Crazy Clown,Crazy Clown,440,NULL
804,Filthy Monk banán,Crazy Clown,Praha,Hlavní město Praha,5.5,Neuvedené,"banánové pivo ( ovocné pivo , ochucené pivo )",Sour Ale,11,4,Neuvedené,Crazy Clown,Crazy Clown,440,NULL
805,Filthy Monk borůvka,Crazy Clown,Praha,Hlavní město Praha,6,Neuvedené,"borůvkové pivo ( ovocné pivo , ochucené pivo )",Sour Ale,11,4,Neuvedené,Crazy Clown,Crazy Clown,440,NULL
806,Filthy Monk malina,Crazy Clown,Praha,Hlavní město Praha,5.5,Neuvedené,"malinové pivo ( ovocné pivo , ochucené pivo )",Sour Ale,11,4,Neuvedené,Crazy Clown,Crazy Clown,440,NULL
807,Filthy Monk ostružina,Crazy Clown,Praha,Hlavní město Praha,6.5,Neuvedené,"ostružinové pivo ( ovocné pivo , ochucené pivo )",Sour Ale,11,4,Neuvedené,Crazy Clown,Crazy Clown,440,NULL
808,Filthy Monk Pomeranč,Crazy Clown,Praha,Hlavní město Praha,6,Neuvedené,Neuvedené,Sour Ale,11,4,Neuvedené,Crazy Clown,Crazy Clown,440,NULL
809,Fire Walk With Me,Crazy Clown,Praha,Hlavní město Praha,5,Neuvedené,"višňové pivo ( ovocné pivo , ochucené pivo )","Belgian Dark Strong Ale ( Belgian Strong Ale , Belgian Ale , Ale )",16,NULL,Neuvedené,Crazy Clown,Crazy Clown,440,NULL
810,Follow the White Rabbit,Crazy Clown,Praha,Hlavní město Praha,6.800000190734863,Neuvedené,"liči pivo ( ovocné pivo , ochucené pivo )","American Pale Ale ( Pale Ale , Ale )",12,5.099999904632568,Neuvedené,Crazy Clown,Crazy Clown,440,NULL
811,For God's Saké!,Crazy Clown,Praha,Hlavní město Praha,6.5,Neuvedené,Neuvedené,India Pale Ale ( Ale ),16,NULL,Neuvedené,Crazy Clown,Crazy Clown,440,NULL
812,Funky Junkie,Crazy Clown,Praha,Hlavní město Praha,7.300000190734863,Neuvedené,"angreštové pivo ( ovocné pivo , ochucené pivo )",Saison Sour Ale,10,4,Neuvedené,Crazy Clown,Crazy Clown,440,NULL
813,God Is Dead,Crazy Clown,Praha,Hlavní město Praha,6.800000190734863,Neuvedené,Neuvedené,Belgian Ale ( Ale ),15,5.800000190734863,Neuvedené,Crazy Clown,Crazy Clown,440,NULL
814,God Raped Virgin Mary,Crazy Clown,Praha,Hlavní město Praha,6.800000190734863,vánoční,"černorybízové pivo ( ovocné pivo , ochucené pivo )",Sweet Stout / Milk Stout ( Stout ),18,7.099999904632568,Neuvedené,Crazy Clown,Crazy Clown,440,NULL
815,Gummiberry Juice,Crazy Clown,Praha,Hlavní město Praha,6,Neuvedené,ochucené pivo,Pale Ale ( Ale ),14,5.5,Neuvedené,Crazy Clown,Crazy Clown,440,NULL
816,Harajuku Circus,Crazy Clown,Praha,Hlavní město Praha,6.5,Neuvedené,čajové pivo ( ochucené pivo ),Ale,14,NULL,Neuvedené,Crazy Clown,Crazy Clown,440,NULL
817,Helter Skelter,Crazy Clown,Praha,Hlavní město Praha,6.5,Neuvedené,Neuvedené,Gose,11,4.099999904632568,Neuvedené,Crazy Clown,Crazy Clown,440,NULL
818,Helter Skelter Acai,Crazy Clown,Praha,Hlavní město Praha,7,Neuvedené,ochucené pivo,Gose,11,4.099999904632568,Neuvedené,Crazy Clown,Crazy Clown,440,NULL
819,Helter Skelter Bloody Mary,Crazy Clown,Praha,Hlavní město Praha,2.5,Neuvedené,"pepřové pivo ( kořeněné pivo , ochucené pivo ) chilli pivo ( ochucené pivo )",Gose,11,4.099999904632568,Neuvedené,Crazy Clown,Crazy Clown,440,NULL
820,Helter Skelter Bloody Mary Smoked Gose,Crazy Clown,Praha,Hlavní město Praha,8,Neuvedené,nakuřované pivo chilli pivo ( ochucené pivo ) ochucené pivo,Gose,14,5.5,Neuvedené,Crazy Clown,Crazy Clown,440,NULL
