pivovar_id,distinct_kategorie,pocet_kategorii,ale_styly,ale_pocet_stylov,lager_styly,lager_pocet_stylov,wheat_styly,wheat_pocet_stylov,non_alco_styly,non_alco_pocet_stylov,sour_styly,sour_pocet_stylov,special_styly,special_pocet_stylov,dark_styly,dark_pocet_stylov,celkova_diverzita
160,"ALE, DARK, LAGER, NON-ALCO, SPECIAL, WHEAT",6,"altbier, amber, belgian, english pale ale, ipa, kolsch",6,pilsner,1,hefeweizen,1,NULL,0,NULL,0,NULL,0,"porter, stout",2,12
161,"ALE, DARK, LAGER, SPECIAL, WHEAT",5,"amber, american pale ale",2,marzen,1,hefeweizen,1,NULL,0,NULL,0,NULL,0,NULL,0,6
162,ALE,1,ipa,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,1
164,"ALE, LAGER",2,saison,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,2
165,"LAGER, SPECIAL",2,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,2
166,"ALE, LAGER",2,american pale ale,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,dunkel,1,3
167,"ALE, DARK, LAGER, SOUR, SPECIAL, WHEAT",6,"amber, american pale ale, belgian, english pale ale, ipa, kolsch, saison",7,festbier,1,hefeweizen,1,NULL,0,"berliner weisse, gose",2,barleywine,1,"bock, porter, stout",3,15
168,"ALE, DARK, LAGER, SOUR, SPECIAL, WHEAT",6,"amber, american pale ale, english pale ale, ipa, saison",5,pilsner,1,oatmeal,1,NULL,0,"fruit, lambic",2,NULL,0,stout,1,11
170,"LAGER, SPECIAL",2,NULL,0,pilsner,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,2
171,"ALE, SOUR",2,"belgian, saison",2,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,3
172,"ALE, LAGER",2,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,2
173,"ALE, DARK, LAGER, SPECIAL, WHEAT",5,"amber, belgian, ipa, saison",4,pilsner,1,hefeweizen,1,NULL,0,NULL,0,NULL,0,"porter, stout",2,9
174,"ALE, DARK, LAGER, SOUR, SPECIAL, WHEAT",6,"american pale ale, belgian, ipa",3,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,"bock, stout",2,9
175,"ALE, LAGER, SPECIAL, WHEAT",4,ipa,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,4
176,"DARK, LAGER, SPECIAL",3,NULL,0,pilsner,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,3
178,LAGER,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,1
179,LAGER,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,1
180,"ALE, DARK, LAGER, SOUR",4,ipa,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,stout,1,4
181,"ALE, LAGER, WHEAT",3,ipa,1,NULL,0,hefeweizen,1,NULL,0,NULL,0,NULL,0,NULL,0,3
182,"DARK, LAGER, SPECIAL",3,NULL,0,pilsner,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,3
183,LAGER,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,1
184,"DARK, LAGER, SPECIAL",3,NULL,0,pilsner,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,3
185,"ALE, DARK, LAGER, SPECIAL",4,NULL,0,pilsner,1,NULL,0,NULL,0,NULL,0,NULL,0,porter,1,4
186,"ALE, DARK, LAGER",3,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,porter,1,3
187,"ALE, DARK, LAGER, SPECIAL",4,"american pale ale, ipa",2,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,5
188,"ALE, DARK, LAGER, SPECIAL, WHEAT",5,"american pale ale, ipa",2,NULL,0,hefeweizen,1,NULL,0,NULL,0,NULL,0,stout,1,6
189,"ALE, DARK, LAGER, SPECIAL, WHEAT",5,"amber, american pale ale, belgian, ipa",4,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,"bock, stout",2,9
190,"ALE, DARK, LAGER, NON-ALCO, SPECIAL, WHEAT",6,"english pale ale, ipa",2,pilsner,1,hefeweizen,1,NULL,0,NULL,0,NULL,0,"porter, stout",2,8
191,"ALE, DARK, LAGER, SPECIAL",4,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,porter,1,4
192,"ALE, LAGER, SPECIAL, WHEAT",4,"american pale ale, ipa",2,pilsner,1,hefeweizen,1,NULL,0,NULL,0,NULL,0,bock,1,6
193,"ALE, DARK",2,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,stout,1,2
194,"ALE, DARK, LAGER, SPECIAL",4,"amber, american pale ale",2,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,stout,1,5
195,"DARK, LAGER, SPECIAL",3,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,3
197,"ALE, DARK",2,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,stout,1,2
198,"DARK, LAGER, SPECIAL",3,NULL,0,pilsner,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,3
199,"DARK, LAGER, SPECIAL",3,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,3
200,"DARK, LAGER, SPECIAL",3,NULL,0,pilsner,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,3
201,"ALE, DARK, LAGER, WHEAT",4,"amber, american pale ale, ipa",3,NULL,0,hefeweizen,1,NULL,0,NULL,0,NULL,0,"bock, stout",2,7
202,"ALE, LAGER",2,ipa,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,2
203,"ALE, LAGER",2,"amber, american pale ale, ipa",3,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,4
204,"LAGER, SPECIAL",2,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,2
205,"ALE, LAGER",2,american pale ale,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,2
206,"ALE, DARK, LAGER, NON-ALCO, SPECIAL",5,"american pale ale, ipa",2,pilsner,1,NULL,0,NULL,0,NULL,0,NULL,0,porter,1,6
207,ALE,1,american pale ale,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,1
