id,nazov_piva,pivovar,pivovar_id_1,pivovar_id_2,sezonnost,skupina_piv,styl,kategoria1,kategoria2,kategoria3,podkategoria
393,Světlý ležák 12°,Blahovar,377,NULL,Neuvedené,Neuvedené,světlý ležák,Lager,NULL,NULL,NULL
394,US Brown Ale,Blahovar,377,NULL,Neuvedené,Neuvedené,"American Brown Ale ( Brown Ale , Ale )",Ale,NULL,NULL,Brown Ale
395,US IPA,Blahovar,377,NULL,Neuvedené,Neuvedené,"American IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,IPA
396,Witbier,Blahovar,377,NULL,Neuvedené,Neuvedené,Belgian Witbier,Ale,Wheat,NULL,"Belgian, Witbier"
397,ZDF Pils,Blahovar,377,NULL,Neuvedené,Neuvedené,German Pilsner ( Pilsner ),Lager,NULL,NULL,Pilsner
398,Blateňák světlý,Strakonice,42,NULL,Neuvedené,Neuvedené,světlé výčepní,Lager,NULL,NULL,NULL
399,Blatenská 10,Zámecká palírna & pivovar Blatná,48,NULL,Neuvedené,Neuvedené,světlé výčepní,Lager,NULL,NULL,NULL
400,Blatenský Kohout světlý ležák,Zámecká palírna & pivovar Blatná,48,NULL,Neuvedené,Neuvedené,světlý ležák,Lager,NULL,NULL,NULL
401,End of Hipsterjugend,Blázen na čepu,290,NULL,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
402,Ironingboard,Pivo Board,486,NULL,Neuvedené,"mango pivo ( ovocné pivo , ochucené pivo ) ostružinové pivo ( ovocné pivo , ochucené pivo )",Sour Ale,Ale,Sour,NULL,NULL
403,Bob & Dave Bitter 11°,Kamenice nad Lipou,697,NULL,Neuvedené,Neuvedené,světlý ležák,Lager,NULL,NULL,NULL
404,Ale,Bobr,552,NULL,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
405,B.A.A. Amber Ale,Bobr,552,NULL,Neuvedené,Neuvedené,Amber Ale ( Ale ),Ale,NULL,NULL,Amber
406,Granátový mlynář,Bobr,552,NULL,Neuvedené,Neuvedené,polotmavý ležák,Lager,NULL,NULL,Polotmavý
407,polotmavý speciál,Bobr,552,NULL,Neuvedené,Neuvedené,polotmavý speciál,Lager,Special,NULL,Polotmavý
408,Stout,Bobr,552,NULL,Neuvedené,Neuvedené,American Stout ( Stout ),Ale,Dark,NULL,Stout
409,světlý ležák,Bobr,552,NULL,Neuvedené,Neuvedené,světlý ležák,Lager,NULL,NULL,NULL
410,Bodňák,Parník,319,NULL,jednorázová várka,Neuvedené,tmavý ležák,Lager,Dark,NULL,NULL
411,Český granát,Bohemia Regent,3,NULL,Neuvedené,žitné pivo,polotmavý ležák,Lager,NULL,NULL,Polotmavý
412,Český granát svrchně kvašený,Bohemia Regent,3,NULL,Neuvedené,žitné pivo Bio pivo,Ale,Ale,NULL,NULL,NULL
413,Escobeer India Pale Ale,Bohemia Regent,3,NULL,Neuvedené,Neuvedené,"American IPA ( India Pale Ale , Ale ) ovesné pivo",Ale,Wheat,NULL,"IPA, Oatmeal"
414,Kníže,Bohemia Regent,3,NULL,Neuvedené,Neuvedené,světlý speciál,Lager,Special,NULL,NULL
415,Lady Vanilla,Bohemia Regent,3,NULL,Neuvedené,ochucené pivo,tmavý ležák,Lager,Dark,NULL,NULL
416,Pivo Petra Voka,Bohemia Regent,3,NULL,Neuvedené,Neuvedené,polotmavý speciál,Lager,Special,NULL,Polotmavý
417,Premium,Bohemia Regent,3,NULL,Neuvedené,Neuvedené,Bohemian Pilsner ( Pilsner ) světlý ležák,Lager,NULL,NULL,Pilsner
418,Prezident,Bohemia Regent,3,NULL,Neuvedené,Neuvedené,světlý speciál,Lager,Special,NULL,NULL
419,Renegát nealko,Bohemia Regent,3,NULL,Neuvedené,Neuvedené,nealko ležák ( nealkoholické pivo ),Lager,Non-alco,NULL,NULL
420,světlé výčepní,Bohemia Regent,3,NULL,Neuvedené,Neuvedené,světlé výčepní,Lager,NULL,NULL,NULL
421,tmavý ležák,Bohemia Regent,3,NULL,Neuvedené,Neuvedené,tmavý ležák,Lager,Dark,NULL,NULL
422,Třeboňské pivo (super výčepní světlé),Bohemia Regent,3,NULL,Neuvedené,Neuvedené,světlé výčepní,Lager,NULL,NULL,NULL
423,Zimní Speciál,Bohemia Regent,3,NULL,zimní,Neuvedené,světlý ležák,Lager,NULL,NULL,NULL
424,BON Starovalašská 12° nefiltrovaná,Zašová,742,NULL,Neuvedené,Neuvedené,Bohemian Pilsner ( Pilsner ) světlý ležák,Lager,NULL,NULL,Pilsner
425,BON tmavý speciál,Zašová,742,NULL,Neuvedené,Neuvedené,tmavý speciál,Lager,Dark,Special,NULL
426,BON Weissbier,Zašová,742,NULL,Neuvedené,Neuvedené,světlé pšeničné German Hefeweizen,Ale,Wheat,NULL,Hefeweizen
427,Dáma APA 12°,Born,203,NULL,Neuvedené,Neuvedené,"American Amber Ale ( Amber Ale , Ale )",Ale,NULL,NULL,Amber
428,Jezdec APA 10°,Born,203,NULL,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
429,Král 12°,Born,203,NULL,Neuvedené,Neuvedené,světlý ležák,Lager,NULL,NULL,NULL
430,Věž IPA 14°,Born,203,NULL,Neuvedené,Neuvedené,"American IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,IPA
431,11° světlý,Brabčák Vratimov,235,NULL,Neuvedené,Neuvedené,světlý ležák,Lager,NULL,NULL,NULL
432,13° sametově hořký speciál,Brabčák Vratimov,235,NULL,Neuvedené,Neuvedené,světlý speciál,Lager,Special,NULL,NULL
433,13° tmavý,Brabčák Vratimov,235,NULL,Neuvedené,Neuvedené,tmavý speciál,Lager,Dark,Special,NULL
434,14° polotmavý,Brabčák Vratimov,235,NULL,Neuvedené,Neuvedené,polotmavý speciál,Lager,Special,NULL,Polotmavý
435,Sparrow APA,Brabčák Vratimov,235,NULL,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
436,Imperial 20° NENEIPA,Brandlínská Kuna,4,NULL,Neuvedené,Neuvedené,"New England IPA ( India Pale Ale , Ale ) Double IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,IPA
437,Braník Černý,Staropramen,514,NULL,Neuvedené,Neuvedené,světlé výčepní,Lager,NULL,NULL,NULL
438,Braník jedenáctka,Staropramen,514,NULL,Neuvedené,Neuvedené,světlý ležák,Lager,NULL,NULL,NULL
439,Braník ležák,Staropramen,514,NULL,Neuvedené,Neuvedené,Bohemian Pilsner ( Pilsner ) světlý ležák,Lager,NULL,NULL,Pilsner
440,Albrecht 11° Sládek,Zámecký pivovar Frýdlant,226,NULL,Neuvedené,single hop,světlý ležák,Lager,NULL,NULL,NULL
441,Albrecht 11° Vital,Zámecký pivovar Frýdlant,226,NULL,Neuvedené,single hop,světlý ležák,Lager,NULL,NULL,NULL
442,Albrecht 12,Zámecký pivovar Frýdlant,226,NULL,Neuvedené,Neuvedené,světlý ležák,Lager,NULL,NULL,NULL
443,Albrecht 12 Valdštejnský speciál,Zámecký pivovar Frýdlant,226,NULL,Neuvedené,Neuvedené,světlý ležák,Lager,NULL,NULL,NULL
444,Albrecht 12° Alt Bier,Zámecký pivovar Frýdlant,226,NULL,Neuvedené,Neuvedené,Altbier,Ale,NULL,NULL,Altbier
445,Albrecht 13 Kristián American Pale Ale,Zámecký pivovar Frýdlant,226,NULL,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
446,Albrecht 15 Red IPA,Zámecký pivovar Frýdlant,226,NULL,Neuvedené,Neuvedené,"Red IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,IPA
447,Albrecht 17 Ducis Astrologus,Zámecký pivovar Frýdlant,226,NULL,Neuvedené,Neuvedené,"Black IPA ( India Pale Ale , Ale )",Ale,Dark,NULL,IPA
448,Albrecht American Pale Ale,Zámecký pivovar Frýdlant,226,NULL,jednorázová várka,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
449,Albrecht American Wheat,Zámecký pivovar Frýdlant,226,NULL,Neuvedené,Neuvedené,American Wheat ( Wheat Ale ),Ale,Wheat,NULL,Wheat Ale
450,Albrecht Anastas,Zámecký pivovar Frýdlant,226,NULL,Neuvedené,Neuvedené,světlý ležák,Lager,NULL,NULL,NULL
451,Albrecht APA Anna 14 %,Zámecký pivovar Frýdlant,226,NULL,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
452,Albrecht APA Jazz 12°,Zámecký pivovar Frýdlant,226,NULL,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
453,Albrecht APA Jazz 13°,Zámecký pivovar Frýdlant,226,NULL,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
454,Albrecht APA Judita 14 %,Zámecký pivovar Frýdlant,226,NULL,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
455,Albrecht APA Philipp 13 %,Zámecký pivovar Frýdlant,226,NULL,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
456,Albrecht APA Sorachi 12,Zámecký pivovar Frýdlant,226,NULL,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
457,Albrecht Belgian IPA,Zámecký pivovar Frýdlant,226,NULL,Neuvedené,Neuvedené,"Belgian IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,"Belgian, IPA"
458,Albrecht Belgian Tripel 20,Zámecký pivovar Frýdlant,226,NULL,Neuvedené,Neuvedené,"Tripel ( Belgian Strong Ale , Belgian Ale , Ale )",Ale,NULL,NULL,Belgian
459,Albrecht Černé pivo 13,Zámecký pivovar Frýdlant,226,NULL,Neuvedené,Neuvedené,tmavý speciál,Lager,Dark,Special,NULL
460,Braník Mikoláš Aleš,Staropramen,514,NULL,Neuvedené,Neuvedené,světlé výčepní,Lager,NULL,NULL,NULL
461,Braník Na doma,Staropramen,514,NULL,Neuvedené,Neuvedené,světlé výčepní,Lager,NULL,NULL,NULL
462,Braník světlý,Staropramen,514,NULL,Neuvedené,Neuvedené,světlé výčepní,Lager,NULL,NULL,NULL
463,Vánoční granát,Zámecký pivovar Bratčice,77,NULL,vánoční,Neuvedené,polotmavý speciál,Lager,Special,NULL,Polotmavý
464,Zámecká černá dvanáctka,Zámecký pivovar Bratčice,77,NULL,Neuvedené,Neuvedené,tmavý ležák,Lager,Dark,NULL,NULL
465,Zámecká desítka,Zámecký pivovar Oslavany / Zámecký pivovar Bratčice,61,77,Neuvedené,Neuvedené,světlé výčepní,Lager,NULL,NULL,NULL
466,Zámecká dvanáctka,Zámecký pivovar Oslavany / Zámecký pivovar Bratčice,61,77,Neuvedené,Neuvedené,světlý ležák Bohemian Pilsner ( Pilsner ),Lager,NULL,NULL,Pilsner
467,Zámecká jedenáctka,Zámecký pivovar Oslavany / Zámecký pivovar Bratčice,61,77,Neuvedené,Neuvedené,světlý ležák,Lager,NULL,NULL,NULL
468,Zámecká třináctka,Zámecký pivovar Bratčice / Zámecký pivovar Oslavany,77,61,Neuvedené,Neuvedené,polotmavý speciál,Lager,Special,NULL,Polotmavý
469,Prague American Coffee Porter,Brew Team,435,NULL,Neuvedené,kávové pivo ( ochucené pivo ),American Porter ( Porter ),Ale,Dark,NULL,Porter
470,Prague Chocolate American Stout,Brew Team,435,NULL,Neuvedené,čokoládové pivo ( ochucené pivo ),American Stout ( Stout ) Chocolate Stout ( Stout ),Ale,Dark,Special,"Chocolate Stout, Stout"
471,Prague Rude Magpie Neslušná žvanilka,Brew Team,435,NULL,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
472,Prague Single Hop Mosaic IPA,Brew Team,435,NULL,Neuvedené,single hop,"American IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,IPA
473,Prague Smoked Canabis Lager,Brew Team,435,NULL,Neuvedené,"nakuřované pivo konopné pivo ( bylinné pivo , ochucené pivo )",světlý speciál,Lager,Special,NULL,NULL
474,Adamova suchá pinta,Brewniverse,114,NULL,Neuvedené,Neuvedené,Dry Stout ( Stout ),Ale,Dark,NULL,Stout
475,Alegator,Brewniverse,114,NULL,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
476,Červené pi-vínko,Brewniverse,114,NULL,Neuvedené,Neuvedené,"American Amber Ale ( Amber Ale , Ale )",Ale,NULL,NULL,Amber
477,Čierny Peterko,Brewniverse,114,NULL,Neuvedené,Neuvedené,tmavý ležák,Lager,Dark,NULL,NULL
478,G. A. Joe,Brewniverse,114,NULL,Neuvedené,Neuvedené,"American IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,IPA
479,Girja Maximov,Brewniverse,114,NULL,Neuvedené,Neuvedené,Russian Imperial Stout ( Stout ),Ale,Dark,NULL,"Imperial, Stout"
480,Jolana,Brewniverse,114,NULL,Neuvedené,Neuvedené,"Rye IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,IPA
481,Katrpylar,Brewniverse,114,NULL,Neuvedené,ochucené pivo,Pale Ale ( Ale ),Ale,NULL,NULL,NULL
482,Míca Jako Lusk,Brewniverse,114,NULL,Neuvedené,ochucené pivo,"Session IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,IPA
483,Na Eggs (Single Hop Ale Mosaic),Brewniverse,114,NULL,Neuvedené,single hop,"American Blond Ale ( Golden Ale , Ale )",Ale,NULL,NULL,Blond/Golden
484,Pivo jako Křemen,Brewniverse,114,NULL,Neuvedené,Neuvedené,světlý ležák,Lager,NULL,NULL,NULL
485,Ponožky v sandálech,Brewniverse,114,NULL,Neuvedené,Neuvedené,Pale Ale ( Ale ),Ale,NULL,NULL,NULL
486,Santa is Dead,Brewniverse,114,NULL,vánoční,Neuvedené,"Double IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,IPA
487,Brněnský Rodák APA,Rodák,323,NULL,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
488,Bruncvík Hefe Weizen pšeničné,Vysoký Chlumec,634,NULL,Neuvedené,Neuvedené,German Hefeweizen,Ale,Wheat,NULL,Hefeweizen
489,Bruncvík Non Alcoholic Beer Nealko,Platan Protivín,36,NULL,Neuvedené,Neuvedené,nealko ležák ( nealkoholické pivo ),Lager,Non-alco,NULL,NULL
490,Bruncvík Premium Beer originál,Platan Protivín,36,NULL,Neuvedené,Neuvedené,světlé výčepní,Lager,NULL,NULL,NULL
491,Bruncvík Premium Lager Beer ležák,Platan Protivín,36,NULL,Neuvedené,Neuvedené,světlý ležák,Lager,NULL,NULL,NULL
492,Bruncvík Semi-dark Beer polotmavé,Platan Protivín,36,NULL,Neuvedené,Neuvedené,polotmavý ležák,Lager,NULL,NULL,Polotmavý
493,1522 Vánoční dědictví,Zámecký pivovar Břeclav,78,NULL,vánoční,Neuvedené,tmavý speciál,Lager,Dark,Special,NULL
494,Delegát,Zámecký pivovar Břeclav,78,NULL,Neuvedené,Neuvedené,světlé výčepní,Lager,NULL,NULL,NULL
495,Kanec 10° Extra chmelená,Zámecký pivovar Břeclav,78,NULL,Neuvedené,Neuvedené,světlé výčepní,Lager,NULL,NULL,NULL
496,Kanec 11 Hořký,Zámecký pivovar Břeclav,78,NULL,Neuvedené,Neuvedené,světlý ležák,Lager,NULL,NULL,NULL
497,Kanec 13° Nachmelená za studena,Zámecký pivovar Břeclav,78,NULL,Neuvedené,Neuvedené,světlý speciál,Lager,Special,NULL,NULL
498,Kanec ležák,Zámecký pivovar Břeclav,78,NULL,Neuvedené,Neuvedené,světlý ležák,Lager,NULL,NULL,NULL
499,Kanec ležák filtrovaný,Zámecký pivovar Břeclav,78,NULL,Neuvedené,Neuvedené,světlý ležák,Lager,NULL,NULL,NULL
500,Kanec polotmavý,Zámecký pivovar Břeclav,78,NULL,Neuvedené,Neuvedené,polotmavý ležák,Lager,NULL,NULL,Polotmavý
501,Mandlové pivo (pro ni),Zámecký pivovar Břeclav,78,NULL,valentýnské,ochucené pivo,světlý ležák,Lager,NULL,NULL,NULL
502,Mandlové pivo nachmelené za studena (pro něj),Zámecký pivovar Břeclav,78,NULL,valentýnské,ochucené pivo,světlý ležák,Lager,NULL,NULL,NULL
503,Muhammad Ali,Zámecký pivovar Břeclav / Kočovný Kozi,78,106,Neuvedené,Neuvedené,Russian Imperial Stout ( Stout ),Ale,Dark,NULL,"Imperial, Stout"
504,nealko pivo,Zámecký pivovar Břeclav,78,NULL,Neuvedené,Neuvedené,nealko ležák ( nealkoholické pivo ),Lager,Non-alco,NULL,NULL
505,Pivín 12°,Zámecký pivovar Břeclav,78,NULL,Neuvedené,Neuvedené,světlý ležák,Lager,NULL,NULL,NULL
506,Pivín 14°,Zámecký pivovar Břeclav,78,NULL,Neuvedené,Neuvedené,světlý speciál,Lager,Special,NULL,NULL
507,Podlužan,Zámecký pivovar Břeclav,78,NULL,Neuvedené,Neuvedené,světlé výčepní,Lager,NULL,NULL,NULL
508,Red Ale,Zámecký pivovar Břeclav,78,NULL,Neuvedené,Neuvedené,"Red IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,IPA
509,Spring Ale,Zámecký pivovar Břeclav,78,NULL,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
510,Summer Ale,Zámecký pivovar Břeclav,78,NULL,Neuvedené,Neuvedené,"American Blond Ale ( Golden Ale , Ale )",Ale,NULL,NULL,Blond/Golden
511,Svatováclavský Polotmavý speciál,Zámecký pivovar Břeclav,78,NULL,svatováclavské,Neuvedené,polotmavý speciál,Lager,Special,NULL,Polotmavý
512,Břevnov Adventní vanilkové,Břevnovský klášterní pivovar,436,NULL,vánoční,kořeněné pivo ( ochucené pivo ),polotmavý ležák,Lager,NULL,NULL,Polotmavý
513,Břevnovská Jubilejní 10°,Břevnovský klášterní pivovar,436,NULL,Neuvedené,Neuvedené,polotmavé výčepní,Lager,NULL,NULL,Polotmavý
514,Břevnovské Pinot klášterní sour ale,Břevnovský klášterní pivovar,436,NULL,Neuvedené,"hroznové pivo ( ovocné pivo , ochucené pivo )",Sour Ale,Ale,Sour,NULL,NULL
515,Břevnovské Prvomájové kůzlátko,Břevnovský klášterní pivovar,436,NULL,prvomájové,Neuvedené,polotmavý ležák,Lager,NULL,NULL,Polotmavý
516,Adalbert Ale,Břevnovský klášterní pivovar,436,NULL,Neuvedené,Neuvedené,Pale Ale ( Ale ),Ale,NULL,NULL,NULL
517,Torpid Mind,Břevnovský klášterní pivovar / Bad Flash,436,431,Neuvedené,Neuvedené,Russian Imperial Stout ( Stout ),Ale,Dark,NULL,"Imperial, Stout"
518,Benedict Brett Ibišek,Břevnovský klášterní pivovar,436,NULL,letní,bylinné pivo ( ochucené pivo ),Sour Ale,Ale,Sour,NULL,NULL
519,Benedict Břevnovské Abbey,Břevnovský klášterní pivovar,436,NULL,Neuvedené,Neuvedené,"Belgian Dark Strong Ale ( Belgian Strong Ale , Belgian Ale , Ale )",Ale,NULL,NULL,Belgian
520,Benedict Imperial Lager (Imperial Pilsner),Břevnovský klášterní pivovar,436,NULL,Neuvedené,Neuvedené,Strong Pale Lager,Lager,NULL,NULL,NULL
521,Benedict Imperial Lager z vysmoleného sudu,Břevnovský klášterní pivovar,436,NULL,Neuvedené,Neuvedené,světlý speciál Strong Pale Lager,Lager,Special,NULL,NULL
522,Benedict Klášterní IPA,Břevnovský klášterní pivovar,436,NULL,Neuvedené,Neuvedené,India Pale Ale ( Ale ),Ale,NULL,NULL,IPA
523,Benedict Markéta 10%,Břevnovský klášterní pivovar,436,NULL,Neuvedené,Neuvedené,světlé výčepní,Lager,NULL,NULL,NULL
524,Benedict Nachmelená Markéta 10 %,Břevnovský klášterní pivovar,436,NULL,Neuvedené,Neuvedené,světlé výčepní,Lager,NULL,NULL,NULL
525,Benedict Nachmelený Benedict 11%,Břevnovský klášterní pivovar,436,NULL,Neuvedené,Neuvedené,India Pale Lager,Lager,NULL,NULL,IPL
526,Benedict Porter,Břevnovský klášterní pivovar,436,NULL,Neuvedené,Neuvedené,Porter,Ale,Dark,NULL,Porter
527,Benedict Porter Barrel Aged,Břevnovský klášterní pivovar,436,NULL,Neuvedené,whisky aged ( oak barrel-aged ),Porter,Ale,Dark,NULL,Porter
528,Benedict Praga,Břevnovský klášterní pivovar,436,NULL,Neuvedené,Neuvedené,polotmavý ležák,Lager,NULL,NULL,Polotmavý
529,Benedict Pšeničná Nakouřená Karkulka,Břevnovský klášterní pivovar,436,NULL,Neuvedené,nakuřované pivo,German Hefeweizen,Ale,Wheat,NULL,Hefeweizen
530,Benedict pšeničný,Břevnovský klášterní pivovar,436,NULL,Neuvedené,Neuvedené,German Hefeweizen,Ale,Wheat,NULL,Hefeweizen
531,Benedict Pšeničný Bock,Břevnovský klášterní pivovar,436,NULL,Neuvedené,Neuvedené,Dunkler Weizenbock ( Weizenbock ),Ale,Dark,Wheat,"Bock, Wheat Ale"
532,Benedict Pšeničný Stout,Břevnovský klášterní pivovar,436,NULL,Neuvedené,Neuvedené,Stout tmavé pšeničné,Ale,Dark,Wheat,Stout
533,Benedict Russian Imperial Stout,Břevnovský klášterní pivovar,436,NULL,Neuvedené,Neuvedené,Russian Imperial Stout ( Stout ),Ale,Dark,NULL,"Imperial, Stout"
534,Benedict Russian Imperial Stout Barrel Aged,Břevnovský klášterní pivovar,436,NULL,jednorázová várka,whisky aged ( oak barrel-aged ) nakuřované pivo,Russian Imperial Stout ( Stout ),Ale,Dark,NULL,"Imperial, Stout"
535,Benedict rybízová Bretta,Břevnovský klášterní pivovar,436,NULL,Neuvedené,"černorybízové pivo ( ovocné pivo , ochucené pivo )",Russian Imperial Stout ( Stout ),Ale,Dark,NULL,"Imperial, Stout"
536,Benedict Středověké pivo,Břevnovský klášterní pivovar,436,NULL,Neuvedené,Neuvedené,Traditional Ale ( Ale ),Ale,NULL,NULL,NULL
537,Benedict Svatováclavský ležák Proskowetz,Břevnovský klášterní pivovar,436,NULL,"svatováclavské , jednorázová várka",Neuvedené,světlý ležák,Lager,NULL,NULL,NULL
538,Benedict světlý ležák,Břevnovský klášterní pivovar,436,NULL,Neuvedené,Neuvedené,Bohemian Pilsner ( Pilsner ) světlý ležák,Lager,NULL,NULL,Pilsner
539,Benedict světlý ležák zelený chmel,Břevnovský klášterní pivovar,436,NULL,Neuvedené,wet hop,světlý ležák,Lager,NULL,NULL,NULL
540,Benedict tmavý ležák,Břevnovský klášterní pivovar,436,NULL,Neuvedené,Neuvedené,tmavý ležák,Lager,Dark,NULL,NULL
541,Benedict tmavý pšeničný,Břevnovský klášterní pivovar,436,NULL,Neuvedené,Neuvedené,Dunkelweizen,Ale,Dark,Wheat,"Dunkel, Wheat Ale"
542,Benedict Výroční Black IPA,Břevnovský klášterní pivovar,436,NULL,Neuvedené,Neuvedené,"Black IPA ( India Pale Ale , Ale )",Ale,Dark,NULL,IPA
543,jarní Ali Ale,Břevnovský klášterní pivovar,436,NULL,jarní,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
544,Lambic,Břevnovský klášterní pivovar,436,NULL,Neuvedené,Neuvedené,Sour Ale,Ale,Sour,NULL,NULL
545,Nakuřený Benedict,Břevnovský klášterní pivovar,436,NULL,Neuvedené,nakuřované pivo,polotmavý speciál,Lager,Special,NULL,Polotmavý
546,Poutní Rauch Weizenbock,Břevnovský klášterní pivovar,436,NULL,Neuvedené,nakuřované pivo,Weizenbock,Ale,Dark,Wheat,"Bock, Wheat Ale"
547,Šamp,Břevnovský klášterní pivovar,436,NULL,Neuvedené,Neuvedené,pivní sekt,Lager,Non-alco,Special,NULL
548,Březňák 11,Velké Březno,677,NULL,Neuvedené,Neuvedené,světlý ležák,Lager,NULL,NULL,NULL
549,Březňák Jantarový 13°,Velké Březno,677,NULL,Neuvedené,Neuvedené,polotmavý speciál,Lager,Special,NULL,Polotmavý
550,Březňák světlé výčepní,Velké Březno,677,NULL,Neuvedené,Neuvedené,světlé výčepní,Lager,NULL,NULL,NULL
551,Březňák světlý ležák,Velké Březno,677,NULL,Neuvedené,Neuvedené,světlý ležák,Lager,NULL,NULL,NULL
552,Březňák světlý ležák nefiltrovaný,Velké Březno,677,NULL,Neuvedené,Neuvedené,světlý ležák,Lager,NULL,NULL,NULL
553,Březňák světlý speciál,Velké Březno,677,NULL,Neuvedené,Neuvedené,světlý speciál,Lager,Special,NULL,NULL
554,Březňák Velkobřezenský Beránek,Velké Březno,677,NULL,Neuvedené,Neuvedené,polotmavý ležák,Lager,NULL,NULL,Polotmavý
555,BT Pils,Pardubický pivovar,360,NULL,Neuvedené,Neuvedené,Bohemian Pilsner ( Pilsner ) světlý ležák,Lager,NULL,NULL,Pilsner
556,Bubenečská IPA,Bubeneč,437,NULL,Neuvedené,Neuvedené,India Pale Ale ( Ale ),Ale,NULL,NULL,IPA
557,Bubenečská Kometa 13,Bubeneč,437,NULL,Neuvedené,single hop,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
558,Bubenečský Ale 10°,Bubeneč,437,NULL,Neuvedené,Neuvedené,Pale Ale ( Ale ),Ale,NULL,NULL,NULL
559,Bubenečský ležák 11°,Bubeneč,437,NULL,Neuvedené,Neuvedené,světlý ležák,Lager,NULL,NULL,NULL
560,Bubenečský ležák Experimentál,Bubeneč,437,NULL,Neuvedené,Neuvedené,světlý ležák,Lager,NULL,NULL,NULL
561,Bubenečský Stout 14°,Bubeneč,437,NULL,Neuvedené,Neuvedené,Stout,Ale,Dark,NULL,Stout
562,Black Widow,buDDha Karlín,818,NULL,Neuvedené,Neuvedené,Oatmeal Stout ( Stout ),Ale,Dark,Wheat,"Oatmeal, Stout"
563,Karolinenthaler,buDDha Karlín,818,NULL,domovarnictví,Neuvedené,Dampfbier,Ale,NULL,NULL,Dampfbier
564,Weizenblok,buDDha Karlín,818,NULL,domovarnictví,Neuvedené,Dunkler Weizenbock ( Weizenbock ),Ale,Dark,Wheat,"Bock, Wheat Ale"
565,Budějovický Budvar Bud B:STRONG,Budweiser Budvar,6,NULL,Neuvedené,Neuvedené,světlý speciál,Lager,Special,NULL,NULL
566,Budějovický Budvar Bud Premier Select nefiltrovaný,Budweiser Budvar,6,NULL,Neuvedené,wet hop,světlý speciál,Lager,Special,NULL,NULL
567,Bohemian Idols,Budweiser Budvar / Clock,6,167,Neuvedené,Neuvedené,světlý ležák,Lager,NULL,NULL,NULL
568,Redix (Společné z Budvaru),Budweiser Budvar / Cobolis,6,438,Neuvedené,Neuvedené,světlé výčepní,Lager,NULL,NULL,NULL
569,Redix (Společné z Budvaru) nefiltrovaný,Budweiser Budvar / Cobolis,6,438,Neuvedené,Neuvedené,světlé výčepní,Lager,NULL,NULL,NULL
570,Mattoni Birgo nealko Malina·Ostružina,Budweiser Budvar,6,NULL,Neuvedené,"malinové pivo ( ovocné pivo , ochucené pivo ) ostružinové pivo ( ovocné pivo , ochucené pivo )",nealko ležák ( nealkoholické pivo ),Lager,Non-alco,NULL,NULL
571,B:Cryo,Budweiser Budvar,6,NULL,Neuvedené,vymrazované pivo,Eisbock ( Bock ),Lager,Dark,NULL,Bock
