id,nazov_piva,pivovar,pivovar_id_1,pivovar_id_2,sezonnost,skupina_piv,styl,kategoria1,kategoria2,kategoria3,podkategoria
44,Arnošt 10°,Zámecký pivovar Frýdlant,226,NULL,jednorázová várka,Neuvedené,světlé výčepní,Lager,NULL,NULL,NULL
45,Ale Pale,Arnošt,340,NULL,Neuvedené,Neuvedené,Pale Ale ( Ale ),Ale,NULL,NULL,NULL
46,Atrium / Sibeeria Pilsful Treaty,Sibeeria,507,NULL,Neuvedené,Neuvedené,Pilsner,Lager,NULL,NULL,Pilsner
47,Saison Bohémienne,Baron / Sibeeria,164,507,Neuvedené,Neuvedené,Saison,Ale,NULL,NULL,Saison
48,Mango a Chilli,Automat Matuška,430,NULL,Neuvedené,"mango pivo ( ovocné pivo , ochucené pivo ) chilli pivo ( ochucené pivo )",Pastry Sour ( Sour Ale ),Ale,Sour,NULL,NULL
49,Zázvor a Citrusy,Automat Matuška,430,NULL,Neuvedené,"zázvorové pivo ( ochucené pivo ) mandarinkové pivo ( ovocné pivo , ochucené pivo ) pomerančové pivo ( ovocné pivo , ochucené pivo ) limetkové pivo ( ovocné pivo , ochucené pivo )",Sour Ale,Ale,Sour,NULL,NULL
50,světlé výčepní,Avar,231,NULL,Neuvedené,Neuvedené,světlé výčepní,Lager,NULL,NULL,NULL
51,světlý ležák,Avar,231,NULL,Neuvedené,Neuvedené,světlý ležák Bohemian Pilsner ( Pilsner ),Lager,NULL,NULL,Pilsner
52,světlý ležák kvasnicový,Avar,231,NULL,Neuvedené,Neuvedené,světlý ležák,Lager,NULL,NULL,NULL
53,tmavý ležák,Avar,231,NULL,Neuvedené,Neuvedené,tmavý ležák,Lager,Dark,NULL,NULL
54,tmavý ležák kvasnicový,Avar,231,NULL,Neuvedené,Neuvedené,tmavý ležák,Lager,Dark,NULL,NULL
55,Stormbreaker Triple NEIPA,Axiom,289,NULL,Neuvedené,Neuvedené,"New England IPA ( India Pale Ale , Ale ) Double IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,IPA
56,Acid Trip,Axiom,289,NULL,Neuvedené,Neuvedené,India Pale Ale ( Ale ) Sour Ale,Ale,Sour,NULL,IPA
57,Ascent,Axiom,289,NULL,Neuvedené,"ananasové pivo ( ovocné pivo , ochucené pivo )",Sour Ale India Pale Ale ( Ale ),Ale,Sour,NULL,IPA
58,Autumn Lullaby,Axiom,289,NULL,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
59,Caledonia IPA,Axiom,289,NULL,Neuvedené,Neuvedené,"American IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,IPA
60,Flivver,Axiom,289,NULL,Neuvedené,Neuvedené,American Barleywine ( Barley Wine ),Ale,Special,NULL,Barleywine
61,Foam Climb,Axiom,289,NULL,Neuvedené,Neuvedené,"American IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,IPA
62,Gonza,Axiom,289,NULL,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
63,Grand Bankster,Axiom,289,NULL,Neuvedené,Neuvedené,"New England IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,IPA
64,Griffin,Axiom,289,NULL,Neuvedené,Neuvedené,India Pale Lager,Lager,NULL,NULL,IPL
65,Hejlejl,Axiom,289,NULL,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
66,Hop Grenade: Vic Secret,Axiom,289,NULL,Neuvedené,single hop,India Pale Ale ( Ale ),Ale,NULL,NULL,IPA
67,Hop Charger,Axiom,289,NULL,Neuvedené,Neuvedené,"Double IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,IPA
68,Hopscade,Axiom,289,NULL,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
69,Juicy Break Pineapple,Axiom,289,NULL,Neuvedené,Neuvedené,"New England IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,IPA
70,Low Flow Grapefruit,Axiom,289,NULL,Neuvedené,"grapefruitové pivo ( ovocné pivo , ochucené pivo )","New England IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,IPA
71,Moravian Meadow,Axiom,289,NULL,Neuvedené,"medové pivo ( ochucené pivo ) hroznové pivo ( ovocné pivo , ochucené pivo )","Bragawd / Braggot ( Traditional Ale , Ale )",Ale,Special,NULL,Bragawd
72,Negroni Ale,Axiom,289,NULL,Neuvedené,bylinné pivo ( ochucené pivo ),Pale Ale ( Ale ),Ale,NULL,NULL,NULL
73,Parabolica,Axiom,289,NULL,Neuvedené,bylinné pivo ( ochucené pivo ),"Red IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,IPA
74,Pilot,Axiom,289,NULL,Neuvedené,Neuvedené,světlý ležák,Lager,NULL,NULL,NULL
75,Pumpkin Slayer,Axiom,289,NULL,halloweenské / dušičkové,dýňové pivo ( ochucené pivo ) kořeněné pivo ( ochucené pivo ),Pumpkin Ale ( Ale ),Ale,Special,NULL,Pumpkin
76,Queen Vaccine,Axiom,289,NULL,Neuvedené,Neuvedené,"New England IPA ( India Pale Ale , Ale ) Double IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,IPA
77,Ray of Hop,Axiom,289,NULL,Neuvedené,Neuvedené,"American IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,IPA
78,Sour Station Black Currant,Axiom,289,NULL,Neuvedené,"černorybízové pivo ( ovocné pivo , ochucené pivo )",Berliner Weisse,Ale,Sour,Wheat,Berliner Weisse
