id,nazev_pivovaru,detail_nazvu,zeme,typ,mesto,kraj,adresa,zalozeno,ico,ico_obchodni_jmeno,web,prodejna,prodejna_vycap
705,Na Čtyřce,NULL,Česká republika,restaurační pivovar,Pelhřimov,Vysočina,"Masarykovo náměstí 4, Pelhřimov",2016,NULL,NULL,https://www.nactyrce.cz/,1,1
706,Náměstkovo - létající oný,NULL,Česká republika,létající pivovar,Červená Lhota,Vysočina,Červená Lhota,2017,NULL,Náměstkovo létající oný,NULL,NULL,0
707,Pacov,NULL,Česká republika,restaurační pivovar,Pacov,Vysočina,"Jana Autengrubera 318, Pacov",2010,248789,Město Pacov,https://www.pivovarpacov.cz/,1,1
708,Panský pivovar Telč,NULL,Česká republika,restaurační pivovar,Telč,Vysočina,"Slavatovská 86, Telč",2019,NULL,"Panský dvůr Telč, s.r.o.",https://www.panskypivovartelc.cz,1,1
709,PePe - Serious Punk Brewery,NULL,Česká republika,létající pivovar,Žďár nad Sázavou,Vysočina,Žďár nad Sázavou,2015,NULL,PePe - Serious Punk Brewery,NULL,NULL,0
710,Podklášterní pivovar Třebíč,NULL,Česká republika,restaurační pivovar,Třebíč,Vysočina,"Nad Zámkem 7, Třebíč",2012,NULL,Podklášterní pivovar URBAN s.r.o.,NULL,NULL,1
711,Poutník Pelhřimov,NULL,Česká republika,průmyslový pivovar,Pelhřimov,Vysočina,"Pivovarská 856, Pelhřimov",1552,NULL,DUP družstvo Pelhřimov,https://www.pivovarpoutnik.cz/,1,1
712,Račínský minipivovar / Leopold hotel,NULL,Česká republika,minipivovar,Račín,Vysočina,Račín 10,2015,NULL,NULL,https://www.racin.cz/cs/pivovar/,1,1
713,Revolta,NULL,Česká republika,minipivovar,Žďár nad Sázavou,Vysočina,"náměstí Republiky 64, Žďár nad Sázavou",2016,5611539,Pivovar Revolta s.r.o.,https://revolta.cz,0,0
714,Ruprenz,NULL,Česká republika,minipivovar,Uhřínovice,Vysočina,"Uhřínovice 26, Uhřínovice",2013,19838816,Pivovar Ruprenz s.r.o.,pivoruprenz.cz,0,NULL
715,Sobíňov,NULL,Česká republika,minipivovar,Sobíňov,Vysočina,"Sobíňov 65, 58262 Sobíňov",2019,268275,Obec Sobíňov,https://www.facebook.com/minipivovar.Sobinov/,0,NULL
716,Svatojakubský pivovar,NULL,Česká republika,restaurační pivovar,Hluboké,Vysočina,Hluboké 27,2016,41548868,Miroslav Kopuletý fyzická osoba,https://svatojakubskypivovar.cz,1,1
717,Šepťák,NULL,Česká republika,minipivovar,Ledeč nad Sázavou,Vysočina,"Hrnčíře 24, Ledeč nad Sázavou",2021,2633205,Aleš Šepták,https://pivovarseptak.cz/web/,1,1
718,Želivský klášterní pivovar,NULL,Česká republika,minipivovar,Želiv,Vysočina,"Želiv 122, Želiv",2003,28118685,Želivský klášterní pivovar s.r.o. v likvidaci,https://www.pivovarzeliv.com/,1,1
719,1. selský pivovárek Kroměříž,NULL,Česká republika,minipivovar,Kroměříž,Zlínský kraj,"Havlíčkova 4252/130, Kroměříž",2013,NULL,"1.selský pivovárek, s.r.o.",https://www.selsky-pivovarek.cz,1,1
720,Bylnice,NULL,Česká republika,minipivovar,Brumov-Bylnice,Zlínský kraj,"Mýto 44, Brumov-Bylnice",2015,2694981,PIVOVAR Bylnice s. r. o.,https://www.bylnice.cz,0,0
721,Čechmánek,uzavřeno,Česká republika,uzavřený pivovar,Zlín,Zlínský kraj,"2. května 2728, Zlín",2013,2133431,Ing. Michal Čechmánek,NULL,0,0
722,Černý orel Kroměříž,NULL,Česká republika,restaurační pivovar,Kroměříž,Zlínský kraj,"Velké náměstí 9/24, Kroměříž",2009,NULL,ČERNÝ OREL pivovar s.r.o.,https://www.cerny-orel.eu/,1,1
723,Harley Pub,NULL,Česká republika,restaurační pivovar,Otrokovice,Zlínský kraj,Dr. E. Beneše 512,2015,NULL,Pivovar Restaurace Muzeum - Harley Pub,https://www.harleypub.com/,1,1
724,Holendr,NULL,Česká republika,restaurační pivovar,Valašské Meziříčí,Zlínský kraj,Hřbitovní 484,2015,21954691,Pivovar Holendr s.r.o.,https://www.holendr.cz/,1,1
725,Hrádek,NULL,Česká republika,minipivovar,Slavičín,Zlínský kraj,"Družstevní 195,  Slavičín",2013,108405,Zemědělsko obchodní družstvo Starosedlský Hrádek,https://www.pivovar-hradek.cz/,1,NULL
726,Hutisko-Solanec,Balitovy valašské pivovary,Česká republika,uzavřený pivovar,Hutisko,Zlínský kraj,"Hutisko - Solanec 609, Hutisko",2013,5046360,"Klub důchodců Hutisko-Solanec, z.s.",NULL,0,0
727,Chmelnice,NULL,Česká republika,restaurační pivovar,Napajedla,Zlínský kraj,"Palackého 115, Napajedla",2017,4828500,Pivovar Chmelnice s.r.o.,www.pivovarchmelnice.cz,0,1
728,Jarošovský pivovar,NULL,Česká republika,minipivovar,Uherské Hradiště,Zlínský kraj,"Pivovarská 303, Uherské Hradiště",2017,4500504,Jarošovský pivovar a.s.,https://www.jarosovskypivovar.cz/,1,1
729,Karlovský minipivovar / Pod Pralesem,NULL,Česká republika,restaurační pivovar,Velké Karlovice,Zlínský kraj,"Velké Karlovice 545, Velké Karlovice",2014,NULL,Vršák s.r.o.,https://karlovskyminipivovar.cz,0,1
730,Kelč,NULL,Česká republika,uzavřený pivovar,Kelč,Zlínský kraj,Kelč 112,2015,3639126,Minipivovar Kelč s.r.o.,https://www.kelc.cz/,0,0
731,Krásenský pivovar,NULL,Česká republika,restaurační pivovar,Valašské Meziříčí,Zlínský kraj,"Na Tržnici 78/1, Valašské Meziříčí",2017,6351883,Krásenský pivovar s.r.o.,https://www.krasenskypivovar.cz,0,1
732,Minipivovar Maxmilian,NULL,Česká republika,minipivovar,Kroměříž,Zlínský kraj,"Na Sádkách 2798/9, Kroměříž",2012,NULL,Pivovar Kroměříž s.r.o.,https://www.pivomaxmilian.cz/,1,1
733,Rotor,NULL,Česká republika,minipivovar,Kunovice,Zlínský kraj,"V Pastouškách 1781, Kunovice",2020,2244225,ROTOR POWER s.r.o.,https://rotorpower.cz,0,0
734,Rožnovský pivovar,NULL,Česká republika,restaurační pivovar,Rožnov pod Radhoštěm,Zlínský kraj,"Pivovarská 6, Rožnov pod Radhoštěm",2010,NULL,Rožnovské pivní lázně s.r.o.,https://www.roznovskepivnilazne.cz,1,1
735,Skřivánek,NULL,Česká republika,připravovaný pivovar,Lukov,Zlínský kraj,Neuvedeno,Neuvedeno,1277600,Martin Skřivánek,https://www.martinskrivanek.com/,0,0
736,Theodor,NULL,Česká republika,minipivovar,Velké Těšany,Zlínský kraj,Velké Těšany 21,2020,1949381,Theodor Dietl,https://www.pivovartheodor.cz/,1,1
737,Topolský pivovar,NULL,Česká republika,restaurační pivovar,Topolná,Zlínský kraj,"Topolná 224, Topolná",2018,24198773,Topolský pivovar s.r.o.,https://www.topolskypivovar.cz/,1,1
738,Uherský Brod,"Pivovary Lobkowicz, a.s.",Česká republika,průmyslový pivovar,Uherský Brod,Zlínský kraj,"Neradice 369, Uherský Brod",1894,30848,"Lidová tvorba, družstvo umělecké výroby Uherský Brod",https://www.pivovar-uherskybrod.cz/,1,1
739,Valášek,NULL,Česká republika,restaurační pivovar,Vsetín,Zlínský kraj,"Dolní Jasénka 190, Vsetín",2002,970301,Jan Valášek,https://pivovarvalasek.cz,1,1
740,Vraník,NULL,Česká republika,restaurační pivovar,Trnava u Zlína,Zlínský kraj,"Trnava 23, Trnava, Česká republika",2014,26919214,Pivovar Vraník s.r.o.,https://www.pivovarvranik.cz/,1,1
741,Záhlinice,NULL,Česká republika,minipivovar,Záhlinice,Zlínský kraj,"Záhlinice 67, Hulín",2016,46998276,TJ Sokol Záhlinice z.s.,https://www.zahlinicky-pivovar.cz,1,1
742,Zašová,Valašský pivovar Bon,Česká republika,minipivovar,Zašová,Zlínský kraj,"Zašová 595, Valašské Meziříčí",2004,304476,Obec Zašová,https://www.pivovarzasova.cz/,0,0
743,Zlínský švec,NULL,Česká republika,restaurační pivovar,Zlín,Zlínský kraj,"Švermova 101, Zlín - Malenovice",2010,NULL,Pivovar Malenovice s.r.o.,https://www.zlinskysvec.cz/,1,1
744,Minipivovar Bohdaneč,NULL,CZ,minipivovar,Bohdaneč,Středočeský kraj,"Bohdaneč 3, 285 25 Bohdaneč",2022,NULL,NULL,NULL,NULL,NULL
745,Minipivovar Fénix Brno,NULL,CZ,minipivovar,Brno - Veveří,Jihomoravský kraj,"Hrnčířská 813/23, 60200 Brno - Veveří",2025,NULL,NULL,https://hostinecpodschody.cz/,1,1
746,Univerzitní minipivovar Johann Brno,NULL,CZ,minipivovar,Brno,Jihomoravský kraj,"Zemědělská 1, 613 00 Brno",2016,NULL,NULL,https://utp.af.mendelu.cz/pivovar,1,1
747,Minipivovar Fčelín Budišovice,NULL,CZ,minipivovar,Budišovice,Moravskoslezský kraj,"Opavská 41, 747 64 Budišovice",2024,NULL,NULL,www.pivovarfcelin.cz,1,0
748,Minipivovar Pešek Černá,NULL,CZ,restaurační pivovar,Černá,Vysočina,"Černá 139, 594 42 Černá",2022,NULL,NULL,www.pivo-pesek.cz,1,1
749,Minipivovar Gryf Černilov,NULL,CZ,minipivovar,Černilov,Královéhradecký kraj,"Černilov 350, 503 43 Černilov",2022,NULL,NULL,NULL,NULL,NULL
750,Minipivovar Kotouč Česká Kamenice,NULL,CZ,minipivovar,Česká Kamenice,Ústecký kraj,"Pivovarská 3, 407 21 Česká Kamenice",2015,NULL,NULL,www.pivovarkamenice.cz,0,0
751,Minipivovar Sever Děčín,NULL,CZ,minipivovar,Děčín,Ústecký kraj,"U Plovárny 1264/10c, 405 02 Děčín",2018,NULL,NULL,www.pivovarsever.cz,0,NULL
752,Minipivovar Fojtovice,NULL,CZ,minipivovar,Krupka - Fojtovice,Ústecký kraj,"Fojtovice 172, 417 41 Krupka - Fojtovice",2022,NULL,NULL,NULL,NULL,NULL
753,Minipivovar Frymburk,NULL,CZ,minipivovar,Frymburk č. 11,Jihočeský kraj,Frymburk č. 11,2025,NULL,NULL,www.lipno-markus.cz,1,1
754,Mikropivovar Hlučov,NULL,CZ,mikropivovar,Kokořínský Důl,Středočeský kraj,"Kokořínský Důl 57, 27723 Kokořínský Důl",2023,NULL,NULL,www.hlucov.cz,1,1
755,Minipivovar Splávek Choceň,NULL,CZ,minipivovar,Choceň,Pardubický kraj,"Pernerova 95, 565 01 Choceň",2021,NULL,NULL,www.pivovarchocen.cz,1,1
756,Nanopivovar Radování Chvaletice u Protivína,NULL,Česká republika,minipivovar,Protivín,Jihočeský kraj,"Chvaletice 47, 398 11 Protivín",2024,NULL,NULL,www.uroubenestudny.cz,1,1
757,Minipivovar Ivančice,NULL,CZ,mikropivovar,Ivančice,Jihomoravský kraj,"Kounická 1736/86, 66491 Ivančice",2023,NULL,NULL,www.pivovarivancice.cz,1,1
758,Minipivovar Jičín,NULL,CZ,minipivovar,Jičín - Valdické Předměstí,Královéhradecký kraj,"Hradecká 519, 506 01 Jičín - Valdické Předměstí",2023,NULL,NULL,www.minipivovarjicin.cz,1,1
759,Malopivovar Hunec Kamýk nad Vltavou,NULL,CZ,minipivovar,Kamýk nad Vltavou,Středočeský kraj,"Kamýk nad Vltavou 96, 262 63 Kamýk nad Vltavou",2024,NULL,NULL,www.hunec.cz,0,0
760,Minipivovar Habakuk Kaplice,NULL,CZ,minipivovar,Kaplice,Jihočeský kraj,"Českobudějovická 409, 382 41 Kaplice",2025,NULL,NULL,www.pivovarhabakuk.cz,0,0
761,Minipivovar Bratři v pivu Kaznějov,NULL,CZ,mikropivovar,Kaznějov,Plzeňský kraj,"Pod Továrnou 49, 331 51 Kaznějov",2025,NULL,NULL,www.bratrivpivu.cz,0,0
762,Minipivovar Myjavka Klobouky u Brna,NULL,CZ,minipivovar,Klobouky u Brna,Jihomoravský kraj,"Nádražní 830/85, 691 72 Klobouky u Brna",2025,NULL,NULL,https://www.facebook.com/profile.php?id=61574865627869&ref=embed_page#,0,NULL
763,Minipivovar Orlík Kožlí,NULL,CZ,minipivovar,Kožlí,Jihočeský kraj,"Kožlí 5, 398 04 Kožlí",2024,NULL,NULL,https://www.pivovarorlik.cz/,1,1
764,Minipivovar Breimis Krhová,NULL,CZ,minipivovar,Krhová,Olomoucký kraj,"Barvířka 25, 756 63 Krhová",2023,NULL,NULL,www.breimis.cz,0,0
765,Minipivovar Arogant Krnov,NULL,CZ,minipivovar,Krnov - Opavské předměstí,Moravskoslezský kraj,"Chářovská, Krnov - Opavské předměstí",2023,NULL,NULL,www.pivovar-arogant.cz,1,1
766,Minipivovar Dobrá Kára Kvasice,NULL,CZ,minipivovar,Kvasice,Zlínský kraj,"Horní 7, 768 21 Kvasice",2025,NULL,NULL,https://www.facebook.com/groups/pivovaryceskerepubliky/posts/24097843636511046/,0,NULL
767,Lázeňský pivovar Luhačovice,NULL,CZ,minipivovar,Luhačovice,Zlínský kraj,"Družstevní 142, 763 26 Luhačovice",2021,NULL,NULL,www.pivovarluhacovice.cz,1,1
768,Minipivovar Nechan Lysá nad Labem,NULL,CZ,minipivovar,Lysá nad Labem,Středočeský kraj,"Poděbradova 150/26, 289 22 Lysá nad Labem",2026,NULL,NULL,https://pivovarnechan.cz/,1,NULL
769,Minipivovar Rauš Morašice,NULL,Česká republika,minipivovar,Morašice,Jihomoravský kraj,"Morašice 12, 67171 Morašice",2024,NULL,NULL,www.pivovar-raus.cz,1,1
770,Knížecí minipivovar Moravská Třebová,NULL,CZ,minipivovar,Moravská Třebová - Město,Pardubický kraj,"Zámecké nám. 183/4, 571 01, Moravská Třebová - Město",2023,NULL,NULL,www.cateringzapletal.cz,1,1
771,Minipivovar Starý hrad Nivy,NULL,CZ,minipivovar,Děpoltovice,Karlovarský kraj,"Nivy 4, 362 25 Děpoltovice",2014,NULL,NULL,www.eurocentrum-pivnilazne.cz,1,0
772,Minipivovar Kořenáč Odry-Pohoř,NULL,CZ,minipivovar,Odry - Pohoř,Moravskoslezský kraj,"Pohoř 42, 74235 Odry - Pohoř",2026,NULL,NULL,www.pivovar-korenac.cz,1,1
773,Minipivovar Fenik Ohrazenice,NULL,CZ,minipivovar,Ohrazenice,Středočeský kraj,"Ohrazenice 148, 262 23 Ohrazenice",2022,NULL,NULL,www.pivovarfenik.cz,0,0
774,Minipivovar Bejval Olešnice,NULL,CZ,minipivovar,Olešnice,Jihočeský kraj,"Olešnice 30, 373 31 Olešnice",2023,NULL,NULL,www.pivovarbejval.cz,1,1
775,Minipivovar Garage Ostrava,NULL,CZ,minipivovar,Ostrava - Martinov,Moravskoslezský kraj,"Martinovská 3262/50, 723 00 Ostrava - Martinov",2013,NULL,NULL,www.garageclub.cz,1,1
776,Minipivovar Hřebec Pardubice,NULL,CZ,minipivovar,Pardubice,Pardubický kraj,"Semtín 105, 530 02 Pardubice VII - Semtín",2025,2025,NULL,NULL,NULL,1
777,Minipivovar Petrovice,NULL,CZ,minipivovar,Mladošovice - Petrovice,Jihočeský kraj,"Petrovice 23, 373 12 Mladošovice - Petrovice",2021,NULL,NULL,www.pivovarpetrovice.cz,1,1
778,Minipivovar Petrovické zlato,NULL,CZ,minipivovar,Petrovice u Rakovníka,Středočeský kraj,"Petrovice č.p. 1, Zámecký areál, 270 35 Petrovice u Rakovníka",2026,NULL,NULL,www.petrovickepivo.cz,1,1
779,Minipivovar Lectvar Plzeň,NULL,CZ,minipivovar,Plzeň 4 - Újezd,Plzeňský kraj,"Pod Rozhlednou 791/23, 312 00 Plzeň 4 - Újezd",2025,NULL,NULL,NULL,NULL,NULL
780,Minipivovar Smíšek Podmoky,NULL,CZ,minipivovar,Podmoky,Středočeský kraj,"Podmoky 49, 289 04 Podmoky",2020,NULL,NULL,www.pivovar-smisek.cz,0,0
781,Minipivovar Komonec Pozlovice,NULL,CZ,minipivovar,Pozlovice,Zlínský kraj,"K Přehradě 334, 763 26 Pozlovice",2025,NULL,NULL,www.komonec.cz,1,1
782,Školní pivovar VŠCHT Praha,NULL,CZ,minipivovar,Praha 6,Hlavní město Praha,"Vysoká škola chemicko-technologická, Technická 5 , 166 28 Praha 6",2010,NULL,NULL,www.vscht.cz,1,1
783,Minipivovar Kolčavka Praha,NULL,CZ,minipivovar,Praha 9 - Libeň,Hlavní město Praha,"Lihovarská 1060/12, 190 00 Praha 9 - Libeň",2014,NULL,NULL,https://pivovarkolcavka.cz/,1,1
784,Minipivovar Beznoska Praha,NULL,CZ,minipivovar,Praha 9 - Prosek,Hlavní město Praha,"Klíčovská 805/11, Praha 9 - Prosek",2013,NULL,NULL,www.skolicka.cz,1,1
785,Minipivovar Loď Praha,NULL,CZ,minipivovar,Praha 1,Hlavní město Praha,"Dvořákovo nábřeží, Štefánikův most, Kotviště číslo 19, 110 00 Praha 1",2017,NULL,NULL,https://www.lodpivovar.cz/,1,1
786,Minipivovar Contract brewing Praha,NULL,CZ,restaurační pivovar,Praha 13 - Stodůlky,Hlavní město Praha,"OC Lužiny, Archeologická 2256/1, 155 00 Praha 13 - Stodůlky",2024,NULL,NULL,www.contractbrewing.cz,0,1
787,Minipivovar U Tří králů Prostějov,NULL,CZ,mikropivovar,Prostějov,Olomoucký kraj,"Finská 4592/8, 796 04 Prostějov",2011,NULL,NULL,www.kolibautrikralu.cz,1,1
788,Přepyšský pivovárek Přepychy,NULL,CZ,mikropivovar,Přepychy,Pardubický kraj,"Přepychy 42, 533 16 Přepychy",2025,NULL,NULL,NULL,NULL,NULL
789,Minipivovar Pivojem Příbor,NULL,CZ,minipivovar,Příbor,Moravskoslezský kraj,"Josefa Rašky 392, 742 58 Příbor",2023,NULL,NULL,www.pivojem.cz,1,1
790,Minipivovar Šarovec Ptení,NULL,CZ,minipivovar,Ptení,Olomoucký kraj,"Ptení 304, 798 43 Ptení",2024,NULL,NULL,NULL,NULL,NULL
791,Minipivovar Na Statku Radíkovice,NULL,CZ,minipivovar,Radíkovice,Královéhradecký kraj,"Radíkovice 12, 503 27 Radíkovice",2023,NULL,NULL,https://pivovarnastatku.cz/,1,NULL
792,Minipivovar Anna Rokytňany,NULL,CZ,minipivovar,Rokytňany - Horní Rokytňany,Královéhradecký kraj,"Horní Rokytňany, 50723 Rokytňany - Horní Rokytňany",2022,NULL,NULL,www.annakrava.cz,1,1
793,Minipivovar Rožmberk,NULL,CZ,minipivovar,Rožmberk nad Vltavou,Jihočeský kraj,"Rožmberk nad Vltavou 65, 382 18 Rožmberk nad Vltavou",2023,NULL,NULL,www.pivovarrozmberk.cz,1,1
794,Minipivovar Rožnov pod Radhoštěm,NULL,CZ,minipivovar,Rožnov pod Radhoštěm,Olomoucký kraj,"Pivovarská 6, 756 61 Rožnov pod Radhoštěm",2010,NULL,NULL,www.roznovskepivo.cz,0,0
795,Minipivovar Rýmařov,NULL,CZ,minipivovar,Rýmařov,Olomoucký kraj,"Pivovarská 14/16, 795 01 Rýmařov",1995,NULL,NULL,www.hotelexcelent.cz,1,1
796,Mipivovar Libor Hančar Seč-Počátky,NULL,CZ,minipivovar,Seč - Počátky,Pardubický kraj,"Počátky 36, 538 07 Seč - Počátky",2021,NULL,NULL,www.pivovarhancar.cz,1,1
797,Měšťanský minipivovar Soběslav,NULL,CZ,minipivovar,Soběslav II,Jihočeský kraj,"Na Pískách 488, 392 01 Soběslav II",2021,NULL,NULL,www.raselina.cz,1,1
798,Minipivovar 66 Sosnová,NULL,CZ,restaurační pivovar,Sosnová,Liberecký kraj,"Sosnová 66, 470 01 Sosnová",2024,NULL,NULL,www.pivovar66.cz,1,1
799,Minipivovar Stráž nad Nežárkou,NULL,CZ,minipivovar,Stráž nad Nežárkou,Jihočeský kraj,"náměstí Emy Destinnové 7, 378 02 Stráž nad Nežárkou",2022,NULL,NULL,www.pivovarstraz.cz,1,1
800,Minipivovar Friesovy boudy Strážné,NULL,CZ,minipivovar,Strážné,Pardubický kraj,"Penzion Andula, Strážné 96, 543 52 Strážné",2013,NULL,NULL,www.penzionandula.cz,1,1
801,Minipivovar Strážnický Slavjan,NULL,CZ,minipivovar,Strážnice,Jihomoravský kraj,"Radějovská 954, 696 62 Strážnice",2021,NULL,NULL,NULL,NULL,NULL
802,Ruxusní minipivovar Telč,NULL,CZ,minipivovar,Telč - Telč-Štěpnice,Pardubický kraj,"Slavatovská 307, 588 56, Telč - Telč-Štěpnice",2023,NULL,NULL,https://www.facebook.com/p/Ruxusn%C3%AD-minipivovar-100092296327335/,0,NULL
803,Minipivovar Fenek Třebíč,NULL,CZ,minipivovar,Třebíč,Jihomoravský kraj,"Nad Zámkem 7, 674 01, Třebíč",2012,NULL,NULL,www.pivovar-trebic.cz,1,1
804,Minipivovar Kulivá Hora Třebotov,NULL,CZ,minipivovar,Třebotov,Středočeský kraj,"Hlavní 425, 252 26 Třebotov",2024,NULL,NULL,www.pivovarkulivahora.cz,1,1
805,Minipivovar Orlovna Uherské Hradiště,NULL,CZ,minipivovar,Uherské Hradiště,Jihomoravský kraj,"Mariánské náměstí 78, 68601 Uherské Hradiště",2021,NULL,NULL,www.minipivovar-orlovna.cz,1,NULL
806,Minipivovar Many Worlds Unhošť,NULL,CZ,minipivovar,Unhošť,Středočeský kraj,"Křivoklátská 170, 273 51 Unhošť",2021,NULL,NULL,www.manyworlds.cz,0,0
807,Minipivovar Rychtik Velké Bílovice,NULL,CZ,minipivovar,Velké Bílovice,Jihomoravský kraj,"Polní 1480, 691 02 Velké Bílovice",2024,NULL,NULL,www.rychtik.cz,0,0
808,Školní minipivovar SOŠEP Veselí nad Lužnicí,NULL,CZ,minipivovar,Veselí na Lužnicí,Jihočeský kraj,"Blatské sídliště 600/I., 391 81 Veselí na Lužnicí",2011,NULL,NULL,www.sos-veseli.cz,1,0
809,Zmolský minipivovar Višňové,NULL,CZ,minipivovar,Višňové,Jihomoravský kraj,"Višňové 148, 671 38 Višňové",2023,NULL,NULL,www.zmolskypivovar.cz,1,1
810,Minipivovar Balík Vosná,NULL,CZ,minipivovar,Šebířov - Vosná,Jihočeský kraj,"Vosná 1, 391 43 Šebířov - Vosná",2023,NULL,NULL,www.pivovarbalik.cz,0,0
811,Minipivovar Bobr Zadní Třebaň,NULL,CZ,mikropivovar,Zadní Třebaň,Středočeský kraj,"U mlýna 8, 267 29 Zadní Třebaň",2013,NULL,NULL,www.pivovarbobr.cz,1,0
812,Minipivovar Misionář Zlín,NULL,CZ,minipivovar,Zlín - Mladcová,Zlínský kraj,"Ulička 601, 76001 Zlín - Mladcová",2024,NULL,NULL,www.pivovarmisionar.cz,1,1
813,Mikropivovar Jonatán Znojmo,NULL,CZ,mikropivovar,Znojmo,Jihomoravský kraj,"Masarykovo náměstí 389/14, 66902 Znojmo",2020,NULL,NULL,www.vinarskydumznojmo.cz,1,1
814,Minipivovar Old Cock Znojmo,NULL,CZ,minipivovar,Znojmo,Jihomoravský kraj,"Na Valech 1560/15, 669 02 Znojmo",2023,NULL,NULL,https://www.oldcock.cz/full/#pivo,1,1
815,Hell Bastard,NULL,CZ,domovarnictví,Brno,Jihomoravský kraj,NULL,NULL,NULL,NULL,NULL,NULL,NULL
816,Four Elements Brewery,NULL,CZ,minipivovar,Praha,Hlavní město Praha,"Svatoplukova 528, 128 00, Praha 2-Nusle",2019,NULL,NULL,https://fourelementsbrewery.com/,1,1
817,NOZIB Special Brews,NULL,CZ,minipivovar,Čižic,Plzeňský kraj,NULL,2018,NULL,NULL,https://nozib.eu/,1,NULL
818,buDDha Karlín,NULL,CZ,domovarnictví,Praha,Hlavní město Praha,NULL,2021,NULL,NULL,NULL,NULL,NULL
819,Beergeek,NULL,CZ,minipivovar,Praha,Hlavní město Praha,"Slavíkova 10, Praha 3",2014,NULL,NULL,https://beergeek.cz/,1,1
820,Domácí pivovar Partyzán,NULL,CZ,domovarnictví,Liberec,Liberecký kraj,NULL,NULL,NULL,NULL,NULL,0,0
821,Zubatý pes Brew,NULL,CZ,uzavřený pivovar,Praha,Hlavní město Praha,NULL,2012,NULL,NULL,NULL,0,0
822,Létající Ovčáček,NULL,CZ,létající pivovar,Osvětimany,Zlínský kraj,NULL,NULL,NULL,NULL,NULL,NULL,0
823,Lachout VŠCHT,NULL,CZ,minipivovar,Praha,Hlavní město Praha,"Technická 5, 166 28 Praha 6",1900,NULL,NULL,https://www.vscht.cz/pivovar,1,1
824,Beerware,NULL,CZ,domovarnictví,Praha,Hlavní město Praha,NULL,NULL,NULL,NULL,NULL,NULL,NULL
826,Haksna,NULL,CZ,minipivovar,Ostrava,Moravskoslezský kraj,"Proskovická 1169/215, 724 00 Ostrava-Stará Bělá",2022,NULL,NULL,https://eshop.haksna.cz/,1,1
827,Saxenberg,NULL,CZ,minipivovar,Český Těšín,Moravskoslezský kraj,"Ostravská 585, 737 01 Český Těšín 1",2010,NULL,NULL,https://www.saxenberg.com/,1,NULL
828,Dannyy,NULL,CZ,domovarnictví,Praha,Plzeňský kraj,NULL,NULL,NULL,NULL,NULL,NULL,NULL
829,Platin,NULL,CZ,domovarnictví,Praha,Hlavní město Praha,NULL,NULL,NULL,NULL,NULL,NULL,NULL
830,Podolák,NULL,CZ,domovarnictví,Praha,Hlavní město Praha,NULL,NULL,NULL,NULL,NULL,NULL,NULL
